makespan time indicator criteria
7480 0.3643334 number dist
6570 0.2403278 number dist
6080 0.187502899 number dist
6380 0.2185314 number number
6230 0.1816044 number dist
6680 0.217563901 number number
7000 0.318261001 dist dist
5700 0.277404499 dist number
7600 0.287111299 number number
6200 0.1591147 number dist
6710 0.2290576 dist number
7310 0.259668499 number number
5980 0.249160801 dist dist
7030 0.2587675 number number
7130 0.2115886 number dist
6060 0.1914325 dist dist
5590 0.162287801 dist number
7070 0.2983424 dist dist
6400 0.224212601 number dist
6400 0.1737406 number dist
6780 0.2282951 number dist
5930 0.1988496 dist number
6900 0.246843601 dist dist
6510 0.1999482 number dist
5730 0.1440448 dist number
7370 0.2849492 number number
6790 0.216751199 number number
6630 0.2313228 number dist
6000 0.189684799 number number
7130 0.2878026 dist dist
6280 0.219385699 dist number
5480 0.1939601 dist dist
7450 0.355336 number dist
7530 0.246190901 number dist
6720 0.169220901 number dist
6330 0.266369601 dist number
7440 0.263913699 number dist
6660 0.175324699 number number
6390 0.164394101 dist dist
5770 0.1931671 dist dist
6550 0.2164449 number number
6320 0.186437501 number number
6530 0.2094347 number dist
6690 0.2136575 number number
8050 0.237107299 number dist
6340 0.230154301 number number
5930 0.234535599 number dist
6530 0.284044999 number number
5350 0.241758599 dist number
7010 0.2159787 number number
6570 0.224558699 number number
6050 0.1940376 dist dist
6060 0.1785983 dist dist
6430 0.2379177 number dist
6620 0.236035601 dist number
6310 0.239416101 dist dist
6880 0.260948301 number dist
6700 0.242134299 dist number
6290 0.2537071 dist number
6590 0.2096918 dist dist
6140 0.2673807 number number
5730 0.288059999 dist number
6930 0.245438601 number number
5580 0.2158597 dist dist
7200 0.2089447 number number
7230 0.220895 dist number
7230 0.247203599 number number
6240 0.2517955 dist number
6930 0.2240761 number dist
7650 0.2431679 number number
6540 0.2145504 dist number
7110 0.248732599 number number
6710 0.185734199 dist number
8830 0.3278899 number dist
8110 0.279840599 number number
7280 0.281989499 number dist
6950 0.220402501 number number
6830 0.2352507 number dist
6700 0.196356899 number dist
5940 0.2637511 dist dist
6900 0.1931141 number dist
6620 0.2543808 number dist
6500 0.2208027 dist number
6380 0.2078737 dist dist
6110 0.237226601 dist dist
6520 0.2321207 number number
6110 0.2119463 dist dist
6030 0.2470306 dist dist
6950 0.2053367 number dist
6360 0.253421899 dist number
6820 0.221918001 dist dist
6370 0.242946699 number dist
6970 0.191480899 dist number
6140 0.2358766 dist dist
5530 0.1545578 dist dist
6080 0.235226499 dist dist
6300 0.240530801 dist dist
6570 0.2543019 number number
6830 0.284370701 dist dist
6270 0.212282201 dist dist
6710 0.1863098 number dist
5970 0.242383101 dist number
7020 0.2290914 number dist
7130 0.222026699 number number
6550 0.2184152 number dist
6390 0.264750999 dist dist
5960 0.177589 number dist
6590 0.1831083 dist dist
6510 0.1971859 dist number
5870 0.204300799 dist dist
5960 0.286979399 dist dist
5970 0.199539599 number dist
7800 0.284848199 number dist
5740 0.2099882 dist number
6440 0.209529201 dist dist
6380 0.1879113 dist number
5900 0.1933559 dist dist
6890 0.196455501 number number
5790 0.2436325 dist dist
5510 0.2699885 dist number
7420 0.2257735 number dist
6390 0.2420587 dist dist
5650 0.1551937 dist number
6440 0.243829499 dist number
6090 0.1708008 number dist
6000 0.1974963 dist number
6090 0.2056495 dist number
6350 0.215155999 number dist
6320 0.239173099 dist number
7110 0.2256518 dist dist
6200 0.149190101 number number
7180 0.268643101 number dist
6080 0.2375933 dist number
6020 0.1759133 number number
6610 0.242067901 number dist
7040 0.2290316 dist number
5800 0.162893699 dist number
6290 0.270785301 dist number
8300 0.363265399 number number
6830 0.3583132 dist number
6010 0.2693059 dist dist
5870 0.2100905 dist dist
6800 0.260159901 dist number
6280 0.2196944 dist dist
5750 0.2143333 dist dist
6800 0.272076501 number number
6340 0.2695583 dist number
6370 0.2077074 dist number
5950 0.2064926 dist number
6570 0.1851607 number number
6610 0.2654335 dist dist
5940 0.2382926 number dist
6700 0.2691732 number number
5770 0.1763859 number dist
6280 0.2688748 dist dist
6770 0.248388401 dist dist
6480 0.207911201 number dist
6200 0.239126399 dist dist
6170 0.2829248 dist number
6810 0.3416129 number dist
7320 0.189122299 dist number
6750 0.397448699 dist dist
5610 0.347287399 number dist
6330 0.3433886 dist number
7270 0.261387401 number number
6020 0.248769301 dist dist
6540 0.297746601 dist number
6420 0.236508 dist dist
8120 0.325909801 number number
7240 0.3222734 number number
6020 0.212971101 dist dist
6200 0.2218803 dist number
7470 0.3815997 number dist
6240 0.2359144 dist dist
6050 0.2061405 dist number
6020 0.2074809 dist number
6790 0.220046101 number dist
6500 0.169017401 number dist
7150 0.2897095 number number
6280 0.264699599 dist number
6750 0.235148599 number number
7330 0.3491225 number dist
6800 0.2434314 dist dist
6290 0.222302299 number number
