makespan time indicator criteria
10120 0.0349186 number number
9900 0.036801399 number number
9060 0.0198332 dist dist
10040 0.035103099 dist dist
9880 0.027457099 number dist
9100 0.0501273 dist dist
9260 0.024531699 dist dist
8840 0.0217194 number number
8780 0.0213361 dist dist
10260 0.021834101 dist number
9020 0.019596199 number dist
8740 0.0212049 number dist
8920 0.022672601 dist number
9700 0.022433199 dist dist
9320 0.026601701 number dist
9520 0.020214301 number number
9220 0.0557593 dist dist
9120 0.0204683 number number
9380 0.040191399 number dist
9680 0.042322699 number number
9800 0.027535199 dist dist
9000 0.025987099 dist number
9760 0.0312989 dist number
8640 0.0239261 number number
9000 0.019604701 dist number
9920 0.058905001 dist number
9160 0.031836701 dist number
9940 0.044979 dist number
10380 0.0546031 dist number
9280 0.0213436 number number
8780 0.035038899 dist number
9100 0.0201872 number number
8760 0.029624899 number dist
10560 0.093983401 dist number
9820 0.025492499 number dist
9660 0.027035999 number dist
9140 0.0183231 number dist
8620 0.044624599 dist dist
9700 0.021385599 number number
9400 0.021718401 dist dist
9500 0.0257476 number number
9940 0.026559401 dist dist
8760 0.0404818 dist dist
10040 0.026618399 number dist
9320 0.025831801 number number
10080 0.056232301 dist dist
8740 0.020606099 number dist
9060 0.021497499 number number
9520 0.0281133 dist dist
8760 0.0197007 number dist
8920 0.018571199 number dist
9180 0.0282188 number dist
9000 0.0229491 number dist
9460 0.0201009 number dist
9200 0.024892699 dist dist
10040 0.0392617 dist number
9500 0.032902499 number number
9540 0.058554 dist number
8880 0.0368426 dist number
9100 0.020295799 dist dist
9100 0.0279814 number dist
10080 0.0567272 dist dist
8400 0.022328099 number dist
9440 0.0207996 dist number
9480 0.0286381 dist dist
9960 0.0268125 number dist
9760 0.021007099 number dist
9120 0.043711999 dist dist
9260 0.030820901 dist number
9520 0.0228883 dist dist
9340 0.0153791 number number
9160 0.030197201 number number
9360 0.0223758 number dist
9180 0.047024199 dist dist
8960 0.0265197 dist dist
9740 0.0312594 number number
9840 0.0655373 dist dist
8920 0.019911601 dist dist
9420 0.0213841 number number
9680 0.0352055 number number
9400 0.021206399 dist number
9860 0.014383601 number dist
9360 0.0206972 number number
9820 0.019710301 dist dist
9420 0.057519499 dist number
9360 0.0207569 number number
8840 0.0224818 number number
9760 0.0558535 dist dist
9600 0.0194903 dist number
10500 0.020970901 dist dist
9160 0.0196342 number number
9220 0.029425001 number number
8700 0.020177301 dist number
9260 0.0251943 number dist
9500 0.0305156 number number
9720 0.020751199 number number
9600 0.025030101 number number
9100 0.024604301 dist dist
8540 0.020122101 number dist
8900 0.023036799 number dist
10520 0.059874501 dist number
9900 0.0272802 number dist
9980 0.023671101 dist number
9300 0.0286651 number number
9160 0.0580231 dist dist
9160 0.0203445 number dist
10260 0.064921999 dist dist
10340 0.025215401 dist number
9960 0.022586399 number dist
8920 0.023911301 dist dist
9920 0.03577 number dist
9240 0.024589301 number dist
10000 0.055166 dist dist
9040 0.0311028 number number
8480 0.020082 dist dist
9820 0.126295699 dist dist
9700 0.045783099 dist dist
9700 0.0310906 number dist
9840 0.0505895 dist dist
9580 0.1089778 number dist
10640 0.045011 number number
9640 0.028523301 dist number
9620 0.0267791 number number
9600 0.0270234 dist dist
9680 0.0239289 dist number
9660 0.028615701 number number
9880 0.0500547 number number
8780 0.0198551 number number
8860 0.032079201 number dist
9220 0.022231701 dist dist
10380 0.022025199 dist dist
9260 0.0271423 dist number
9080 0.027182901 number number
9800 0.032990799 dist number
9620 0.0239027 dist dist
10240 0.073234799 number dist
9180 0.028755601 number dist
9720 0.0746682 number dist
9800 0.0204512 dist number
8880 0.076260499 dist number
10060 0.0260482 number dist
8320 0.0206916 dist dist
9300 0.0881715 dist dist
8580 0.024850799 number number
8980 0.0507073 dist number
9800 0.0301496 dist dist
8860 0.013052 number number
10260 0.0337272 number number
8940 0.020922 dist number
9620 0.031475999 number dist
9140 0.020825 dist number
8860 0.020852 dist dist
9220 0.0228571 dist dist
9960 0.028735099 number dist
10360 0.0213702 dist dist
8760 0.019716999 dist dist
9340 0.0465736 dist number
9200 0.0386504 number number
10320 0.028003299 dist number
9940 0.1323515 dist dist
9500 0.0205317 number dist
8860 0.026654399 number number
10380 0.0301623 number number
9560 0.022259699 dist dist
8640 0.025921601 number number
9360 0.0208431 number number
10180 0.061573201 dist number
8720 0.022704399 number dist
9600 0.060031601 dist dist
9180 0.029789201 dist number
9480 0.085229501 dist number
9480 0.0210124 dist dist
10480 0.025436501 dist number
10800 0.037926999 number number
9280 0.008797299 number number
9780 0.010025 number number
9020 0.0522419 dist number
9640 0.0394752 dist number
9060 0.0189638 number dist
9460 0.029016601 dist dist
8920 0.019535501 number number
9500 0.026359299 number dist
9060 0.0273714 number number
8040 0.0215905 dist dist
10200 0.0790667 dist number
9540 0.0208352 dist number
9520 0.022745501 number dist
9040 0.0664997 dist dist
8920 0.023786199 number number
9360 0.0888426 number dist
8860 0.019936299 dist number
8720 0.012964099 dist dist
9120 0.0214884 dist number
9300 0.020028501 number number
9220 0.0203694 number dist
10120 0.0339106 number number
8960 0.019117 number dist
9160 0.0551572 dist dist
9040 0.019876101 number dist
8920 0.0433735 dist dist
8760 0.020737799 dist dist
9160 0.020481201 dist number
9540 0.017507599 number dist
9460 0.0470586 number number
9280 0.025241001 dist dist
10260 0.0278335 dist number
10340 0.0481892 number number
8600 0.022699201 number number
9200 0.0217279 number dist
10420 0.0303964 dist dist
8940 0.0225155 number number
9080 0.0194222 dist number
8740 0.0206261 dist dist
9360 0.042462701 number number
8900 0.0557852 dist number
9280 0.0237751 number number
9620 0.020477099 number dist
8520 0.018862199 number dist
9660 0.020095201 number number
8840 0.031919701 dist number
9160 0.0350495 dist dist
9440 0.022781 number number
10200 0.055227499 dist number
9100 0.0219562 number dist
8460 0.0256792 dist dist
8840 0.0278168 number dist
9600 0.0286466 number number
8840 0.019520199 dist number
9180 0.0242975 number dist
8940 0.0204466 number number
9240 0.021326801 dist dist
9280 0.0320885 number dist
9080 0.0210952 dist dist
8620 0.0202329 number number
9740 0.0399509 number number
9520 0.027565999 dist dist
9240 0.012909701 number number
9720 0.0246754 number dist
10500 0.0698583 dist number
9520 0.076556899 dist number
10580 0.0315073 number dist
9000 0.021001999 dist dist
10740 0.0423748 dist number
9420 0.031683501 dist dist
9600 0.0846189 dist number
9520 0.0218116 number dist
8920 0.0223624 number number
9340 0.044407401 number dist
9440 0.059434999 dist number
9860 0.020466199 dist dist
9120 0.0293879 number dist
9660 0.057397899 dist dist
9780 0.02266 dist dist
9760 0.0930575 dist dist
8940 0.051268401 number number
9700 0.0496258 dist number
9540 0.055745899 dist dist
8520 0.0125097 dist dist
9200 0.025176799 dist number
9620 0.0212524 number number
9520 0.028526101 dist dist
9940 0.025322201 number number
8900 0.0321587 number number
9240 0.0291202 number dist
8960 0.0199008 number dist
9340 0.0331818 number number
9880 0.033335501 number number
9760 0.022393199 dist dist
8820 0.022492901 dist dist
8780 0.019752899 number dist
9760 0.0227792 dist number
9520 0.0304632 dist number
8920 0.0269477 number dist
8680 0.024604099 number dist
9440 0.048384101 number dist
9060 0.0276708 dist number
9960 0.0232308 number number
10380 0.025956299 number number
9520 0.034448501 dist dist
9400 0.019973601 number number
8480 0.0113944 dist dist
9520 0.023278499 dist number
9220 0.0225775 dist dist
8660 0.018789199 dist number
9700 0.0864766 dist number
9340 0.0503652 dist number
9800 0.038164701 dist dist
9220 0.0209601 number number
9600 0.067676701 dist dist
9320 0.021899499 number number
9880 0.030726099 dist dist
9640 0.0760853 dist number
9700 0.0670331 dist number
9960 0.0251986 dist number
10280 0.0247896 number number
8760 0.0185968 number dist
11020 0.051636801 number dist
9760 0.022722699 dist dist
8740 0.019667501 number number
10840 0.036021699 number dist
9200 0.0385506 dist number
9380 0.009227901 number dist
8900 0.0195185 number number
9340 0.0196191 number number
9520 0.031575401 dist number
9080 0.018042301 number dist
11580 0.0417773 dist dist
8980 0.019509301 number dist
10260 0.02981 number dist
9360 0.0204828 dist number
9440 0.0228649 number number
8320 0.0344826 dist number
9020 0.023329699 number dist
9080 0.0434657 dist number
10520 0.0419991 number number
9400 0.066867001 dist number
9200 0.0270709 dist dist
8720 0.019897901 dist dist
9100 0.022533099 number number
10880 0.052926899 dist number
9800 0.026354 number number
9640 0.034680601 number dist
9660 0.0203656 dist number
8620 0.0149846 dist number
9220 0.023988799 dist number
9840 0.049621001 dist number
9540 0.0297659 number dist
8800 0.0412476 dist dist
8960 0.0219801 dist dist
9180 0.0492229 dist dist
10220 0.026064299 number dist
10600 0.046538701 dist number
9760 0.0095973 number number
9280 0.027939699 number number
10040 0.025803499 dist dist
9160 0.0801498 dist number
9480 0.0320166 number number
10000 0.0425564 dist dist
9760 0.024185499 number number
9340 0.020557999 dist dist
8680 0.019617101 number dist
9980 0.027660899 number dist
9600 0.0341546 dist number
9140 0.021728601 dist number
9540 0.055362801 number dist
9320 0.011362301 dist number
8420 0.020771799 number dist
9380 0.0228911 number number
8960 0.029954599 dist dist
9780 0.0557472 dist number
10300 0.036047499 number number
9140 0.0191749 number number
9500 0.065210699 dist dist
8940 0.022308799 number dist
9000 0.023810301 number number
9920 0.0218427 dist dist
8740 0.027000301 number number
10380 0.055595601 dist dist
9120 0.0220283 dist number
8840 0.032328999 number number
10120 0.0229775 dist number
10660 0.015666399 number dist
9680 0.052418501 dist number
9920 0.0241385 number dist
9660 0.022887599 dist number
9220 0.024058701 dist dist
8860 0.023560201 number number
9140 0.032424399 dist number
10380 0.0284189 number number
9660 0.0308052 number dist
8620 0.020495101 number number
9260 0.0377892 number dist
9500 0.0294199 number number
10440 0.0359688 number dist
8600 0.0244962 number number
9200 0.030205101 number number
9700 0.0330971 number number
8740 0.0452538 dist number
8700 0.047193599 dist dist
8900 0.0202361 number number
10160 0.0537405 number dist
9680 0.022879599 dist dist
8860 0.022856801 number dist
9540 0.020781299 dist number
9780 0.0723077 dist dist
9840 0.0268156 dist dist
9100 0.023283599 number number
10460 0.039469 number dist
9680 0.027457 number number
9660 0.029587199 dist dist
10220 0.031595799 number dist
10240 0.025111101 dist number
8740 0.0251304 dist dist
9720 0.0605263 dist number
9320 0.021947701 number dist
10060 0.034154701 dist number
10360 0.0229478 dist dist
9420 0.0282594 dist number
9500 0.031856901 dist number
9400 0.0183116 dist number
9720 0.034793101 dist dist
9840 0.0559134 dist number
8840 0.0193801 dist number
8880 0.0222779 dist dist
9320 0.033338701 number dist
9980 0.024160899 dist number
9580 0.023069399 dist number
9160 0.0255161 number dist
9720 0.0503204 number number
9240 0.0438979 number number
9080 0.019839801 dist number
9540 0.023117601 number dist
10040 0.041919701 dist number
9840 0.041129701 number dist
9700 0.0523704 number dist
9980 0.0553808 dist number
9480 0.024192 dist dist
9560 0.020036601 dist number
9580 0.0260792 number number
10400 0.021900299 dist number
9780 0.029612601 dist number
8940 0.028358599 dist dist
9360 0.031009099 dist number
9000 0.0396034 dist dist
10140 0.022243099 number number
9140 0.022166 dist dist
8520 0.0254325 number dist
9360 0.022510099 number dist
9520 0.0213155 dist number
9900 0.0549591 number number
10000 0.0353249 dist number
10920 0.068572599 number number
9160 0.0214413 dist dist
9220 0.033473199 number dist
9220 0.037854699 dist number
9940 0.0242174 dist number
10180 0.0362758 dist dist
8780 0.0210988 number dist
9560 0.0173042 number number
9920 0.051549 dist number
8760 0.037197399 dist number
9100 0.027801701 number dist
9740 0.086942799 dist dist
9600 0.029017701 number number
9360 0.052151001 dist dist
9900 0.048471901 dist dist
9200 0.044846501 dist number
9600 0.0217262 dist number
8560 0.0277992 number dist
8940 0.020966801 number number
10000 0.021612001 dist number
9820 0.0397695 number dist
10120 0.023802599 number dist
9260 0.0242977 dist dist
9220 0.025733201 number number
8900 0.016566399 dist dist
9180 0.013364299 dist number
10320 0.0319609 dist dist
9780 0.0341715 number number
10260 0.028772101 number number
8700 0.0200082 number number
9020 0.0200889 dist number
9640 0.030307 dist number
8740 0.0277397 dist dist
9380 0.027073101 number dist
10160 0.047071599 dist dist
9720 0.0243147 number dist
8660 0.020627399 number number
8960 0.0915054 dist number
8560 0.026176701 dist dist
9520 0.019467901 dist dist
9080 0.025127999 number dist
9100 0.021714501 dist dist
8880 0.0227632 number dist
10280 0.053604501 number number
9840 0.0271818 dist dist
9560 0.0403968 number number
10280 0.040995299 dist number
9240 0.046282199 number number
9860 0.0247189 dist dist
9360 0.033772399 number number
9760 0.045438101 number number
9440 0.0240597 dist number
9020 0.021088 number number
9000 0.021802099 number number
9560 0.031058599 dist dist
9720 0.040837801 dist dist
9680 0.028072 number dist
9800 0.043518099 dist number
8860 0.0260281 number dist
9060 0.0315833 number dist
9480 0.0227585 number dist
8940 0.026818699 number dist
9500 0.0221424 dist dist
11100 0.049338801 number number
9780 0.023100601 dist dist
10160 0.0492908 number number
8940 0.022095801 dist dist
9300 0.0218098 number number
9200 0.019848499 number number
9220 0.020361299 dist number
9000 0.032975199 dist number
9140 0.020268899 number number
9580 0.0308985 number dist
9000 0.021779901 number dist
9660 0.0197081 number number
9440 0.023790501 dist number
9600 0.027591399 number number
10380 0.0247754 dist dist
9620 0.0213373 number dist
9720 0.026768201 number number
9980 0.0743441 number number
8900 0.026839099 number number
9200 0.0668503 dist number
9680 0.0271479 number dist
8700 0.019051501 number dist
10520 0.0208647 number number
10800 0.131086301 number dist
9600 0.025787801 number dist
9020 0.0309128 number dist
9300 0.0439464 dist number
9760 0.020661199 number number
8440 0.0211312 number dist
9240 0.0308898 dist dist
9700 0.031739099 number dist
9580 0.0362187 number dist
9680 0.055470301 dist dist
9760 0.021203001 number dist
9520 0.021405699 number number
9520 0.033247399 number number
9180 0.021308 dist dist
9060 0.0250118 number number
8600 0.0253062 number number
10420 0.022862599 dist dist
9360 0.0316816 dist dist
9380 0.020866999 dist dist
