makespan time indicator criteria
1900 0.007262201 number dist
1900 0.000863 number number
2160 0.001862 dist dist
2160 0.0018501 dist dist
1900 0.000868401 number dist
2180 0.001848599 number dist
2320 0.001688499 dist number
2240 0.001834699 number number
1900 0.000950699 number dist
1900 0.001382301 number dist
2100 0.001434099 number number
2040 0.001432 dist dist
1900 0.0009246 dist number
2280 0.0015538 number number
2280 0.0019534 number dist
2340 0.002166301 number number
2220 0.0018283 dist number
2000 0.0010696 number number
2340 0.002331401 dist dist
2160 0.002199 dist dist
2240 0.0017159 dist dist
2000 0.0008155 dist number
1900 0.000740299 number dist
2120 0.001827199 dist dist
1980 0.001501599 number number
1840 0.0007127 dist number
1860 0.0007978 dist number
1960 0.000934201 number dist
1860 0.000854099 number dist
2060 0.0013203 number dist
1960 0.0008815 dist number
2000 0.000935001 number dist
2180 0.001755201 number dist
1940 0.000879701 number number
1980 0.001481 dist dist
1900 0.000848001 number dist
2180 0.0017228 number dist
1840 0.000851199 dist dist
1900 0.0008242 dist number
1980 0.0010143 dist dist
2060 0.0015433 dist dist
2480 0.002528899 number dist
1900 0.000768701 dist number
2040 0.0011252 dist dist
2260 0.001753899 number number
2240 0.001845599 dist dist
1900 0.000797399 number number
2280 0.0016097 dist dist
1980 0.0007865 number dist
1960 0.0010437 dist dist
2460 0.003138799 dist number
2380 0.0022481 number dist
1900 0.000911599 number dist
1900 0.000766899 dist dist
2100 0.001260301 number number
1900 0.000871599 number dist
2300 0.001705899 dist number
2220 0.0018402 dist dist
1920 0.0009304 dist number
1900 0.000848801 number number
2160 0.0017011 number dist
1860 0.000797101 number number
1900 0.000902599 number dist
1900 0.0008284 number number
2040 0.001044299 dist dist
1920 0.0008612 number dist
1900 0.00094 dist dist
2500 0.0024313 number number
2040 0.001123 dist dist
1860 0.0008288 number dist
2380 0.002279399 dist number
2340 0.0018024 dist dist
2100 0.0012628 number number
1980 0.0015367 number number
2000 0.001268999 number dist
2520 0.002648201 number dist
1900 0.000793701 number number
2360 0.0018621 number number
1860 0.0008767 dist number
1900 0.0009372 number dist
2020 0.0009822 dist dist
2380 0.002388701 dist number
1900 0.0008198 number dist
2000 0.0009474 number number
2280 0.002083999 dist number
2560 0.0027371 dist number
1900 0.000977701 number dist
2260 0.0019368 number dist
2340 0.002490801 dist dist
1860 0.001159199 dist number
2180 0.001801101 number dist
1900 0.0007378 dist dist
1940 0.001123701 dist number
1900 0.0009158 number number
2220 0.001744099 number dist
2360 0.0019187 number dist
2560 0.0029376 number dist
1860 0.0009399 number dist
1900 0.0007334 dist number
2580 0.0025791 number dist
1860 0.000969799 dist dist
1960 0.0009396 number dist
2220 0.001842201 number dist
1820 0.000744999 dist number
1860 0.000855299 number dist
2360 0.001885799 number dist
2040 0.001252299 number dist
