makespan time indicator criteria
10130 1.095817899 number number
9980 1.498249099 dist dist
9860 1.393734199 dist dist
8780 1.0186925 dist number
11020 1.386669399 number number
9730 1.0802472 number number
8800 0.9266397 dist dist
9730 0.8485267 dist dist
10820 1.629161499 number number
9520 1.175728201 number number
9180 1.2105886 dist dist
12060 1.737389099 number dist
8660 1.0692643 dist dist
9400 1.465123101 number number
9170 1.508444201 dist number
9120 1.5803753 dist number
9560 1.149429201 number number
8800 1.2925631 dist number
8680 0.963801 dist number
10640 1.494395401 number dist
9330 1.190799 dist number
10370 1.396754201 number number
9770 1.112016501 dist dist
9480 1.433388599 dist number
11270 2.0739967 number dist
10530 1.410764701 number number
9630 1.6348865 dist dist
10770 1.7228603 number dist
9040 1.9852888 dist dist
9290 1.196482899 dist number
11050 0.9951859 number number
10310 1.6086446 dist number
11940 2.014941201 number dist
10100 1.313393 number number
11720 1.662843 number number
10960 1.7035414 number dist
11230 1.3827328 number dist
10090 1.094610601 number dist
11450 2.1659881 number number
9250 0.8998162 dist number
9620 0.9017217 dist number
9110 1.7263585 dist dist
9740 1.7000432 dist dist
10400 1.5173161 number number
10880 1.4263449 number dist
8720 1.1439416 dist number
9520 1.2745541 dist dist
9170 1.7121662 dist number
12100 1.6388379 number number
10630 1.5835011 dist dist
13450 2.512467599 number number
9400 1.405821299 number dist
9180 0.871857799 number number
8730 1.3220289 dist number
10280 1.0748186 dist dist
11620 1.607292701 number dist
9280 1.272599399 dist dist
9620 1.3597954 number number
9030 1.2522087 dist dist
9350 1.526465701 dist number
9860 1.888392501 dist dist
10130 1.237180801 number number
10180 2.007108401 dist dist
9430 1.0860862 number dist
10000 1.2310151 number dist
10230 2.0217108 number number
9660 1.2913288 dist dist
9650 1.137733701 dist dist
10190 1.2535867 dist number
9070 1.2446345 dist number
10020 1.5837701 number dist
9710 1.6057136 number dist
10660 1.4775148 number dist
10660 1.511049201 dist dist
9590 1.4439383 dist number
11640 1.744126799 number number
10020 1.3356831 dist dist
11940 1.5836912 number dist
9890 1.326696099 dist number
10730 1.300555101 number number
9560 0.9503083 number dist
10370 1.6282346 number number
10850 1.462475399 number number
8390 0.9692416 dist number
8910 1.1828336 dist dist
9900 1.268232 number dist
10560 1.8023055 dist dist
10430 1.748476101 number dist
9320 1.2422572 dist number
10130 1.279782699 dist dist
9470 1.3622779 dist dist
9220 1.4623498 dist dist
8960 1.019597799 dist number
9460 1.2928644 dist number
9570 1.6203349 dist dist
11750 2.010564999 number number
9790 1.2316045 dist dist
9420 1.255395299 dist dist
11710 1.8565537 number dist
9350 1.650454201 dist dist
11110 1.3942633 number dist
10370 1.413635001 dist dist
10440 1.275813101 number dist
10710 1.19755 number dist
9150 1.0557852 dist dist
9320 1.605397699 number dist
8690 1.1192082 dist number
10170 1.340033101 dist number
10300 1.6858073 number dist
8860 1.857235401 dist dist
11280 1.59577 number number
12630 1.588337001 number dist
11080 1.1144969 number dist
10530 1.8838579 number dist
8950 1.2093163 dist dist
10210 1.6092856 number number
10170 1.513879799 dist dist
10200 1.7599213 dist number
9230 1.030558201 dist dist
10730 1.5637525 dist dist
8760 1.2507119 dist dist
9090 1.3299312 dist dist
10190 1.709089101 dist number
10070 1.192652499 number dist
10870 1.701546501 dist dist
9440 1.5444564 number number
10260 1.5191002 dist number
9040 1.2541719 number dist
9440 1.496098399 dist number
9680 1.231612401 number dist
9360 1.071032001 dist number
8720 1.6185601 dist number
11290 2.0747876 number dist
9010 1.009110301 dist number
9770 0.8596786 number dist
9720 1.2404228 number dist
10260 1.640658001 number number
9610 1.410627699 number dist
10050 1.1217503 number dist
9960 0.9766031 number dist
10320 1.0217226 dist dist
10710 1.699858299 number number
10230 2.2477466 dist dist
10940 1.4189637 number number
9520 1.820735399 dist number
11050 1.6198724 number number
9630 1.152002199 dist number
11070 2.0035828 number dist
10230 1.3605302 number dist
9880 1.100741 number dist
12000 2.009236099 number dist
10240 1.196412901 number number
9540 1.250552001 dist number
10750 1.5213205 number number
10350 1.325608501 number dist
10680 1.1653871 number number
12620 1.865094099 number number
9790 1.424045799 number number
10280 1.271538 number dist
10140 1.8175622 number number
11500 1.7226183 number number
10490 1.5092398 number number
10530 1.4294102 dist number
9230 1.0682001 dist dist
9580 1.1786321 dist number
11210 1.9742309 number number
10180 1.315472801 number number
11390 1.2660448 number number
10360 2.375965001 dist dist
9280 1.4610912 dist number
9470 1.3252598 dist dist
10750 1.8150902 number dist
9440 1.482258801 dist dist
9990 1.763327099 number dist
9680 1.2772781 dist number
9950 1.353548901 dist number
9020 1.2255014 dist number
10740 1.905746501 dist dist
9430 1.4655256 dist dist
12160 1.3786189 number number
11450 2.1107016 number number
10080 1.8302047 number number
9560 1.549043001 dist dist
10390 1.553335101 dist number
9820 1.392741699 dist number
9760 1.230042801 number dist
9600 1.826173601 dist dist
9810 1.362925399 number number
9830 1.094500299 dist number
9910 1.0831581 dist dist
11670 1.6577391 number number
10840 1.2022654 number number
9620 1.451330399 dist dist
13460 2.3219713 number number
9310 1.9784136 number dist
9140 1.2940824 dist dist
10010 1.7580201 dist number
8980 1.190804699 dist dist
10040 1.637459801 number dist
13140 1.658209 number number
