makespan time indicator criteria
2380 0.002875099 number number
1820 0.000922501 dist number
1680 0.000742501 dist dist
2240 0.0018825 dist number
2020 0.001395601 dist number
1780 0.000798399 dist number
1840 0.0010623 dist number
2060 0.0011318 dist dist
1840 0.0007677 number number
1980 0.001391401 number dist
2100 0.001337299 number number
1780 0.0007612 dist dist
2380 0.002630899 number dist
1780 0.000762701 number number
1820 0.00091 number dist
2260 0.0020436 number dist
2220 0.0024132 dist number
2140 0.011988 dist dist
1820 0.000815999 number dist
2260 0.002679501 number dist
1660 0.000732101 dist number
1680 0.0007708 dist dist
1760 0.000942 dist dist
1880 0.0009118 dist dist
2080 0.0016192 dist number
1980 0.0014406 dist number
1880 0.0009052 number dist
1880 0.0008089 number number
1780 0.0007853 number dist
1660 0.0006925 dist dist
2000 0.0010435 number dist
1840 0.000923999 dist number
2160 0.001696001 number number
1760 0.0008893 dist dist
2440 0.002496599 number number
1880 0.000885099 dist dist
2040 0.001512801 dist number
2500 0.002403201 number number
1780 0.0007648 dist number
1880 0.000931201 dist dist
2020 0.001426499 dist dist
1880 0.0008786 dist number
2220 0.0023558 number number
1980 0.0013845 number number
1760 0.000913301 number number
1860 0.0011381 number number
2380 0.002437801 dist dist
1940 0.000867201 number dist
2260 0.0027937 dist dist
1840 0.0008182 dist number
1780 0.0007376 number dist
1760 0.0008909 number number
1840 0.0009494 dist dist
2020 0.0014146 number number
2260 0.002606799 number number
1860 0.0011771 dist dist
1660 0.0007065 number number
1780 0.0007153 number dist
2180 0.001745301 dist number
2260 0.002207901 number number
2320 0.002490799 dist dist
1780 0.0007817 number dist
2260 0.0019574 number dist
1660 0.000722199 number number
2160 0.001462501 number dist
1760 0.000918701 number dist
2200 0.001198501 number number
2020 0.0014221 number number
2120 0.0019604 dist dist
2140 0.002378699 dist dist
2040 0.0016 dist number
2360 0.001986099 number number
2020 0.0014211 dist number
2240 0.001937599 number dist
1780 0.0007376 number dist
1980 0.001188499 dist dist
1680 0.000690001 dist number
2120 0.001167901 number dist
1780 0.000697999 number dist
2260 0.0020625 dist number
1980 0.0012679 number number
1660 0.0006885 dist dist
2200 0.001486199 number number
1680 0.0006948 dist number
1760 0.0009144 dist dist
1940 0.0010295 dist number
2020 0.0010901 dist dist
1780 0.0007181 number dist
1780 0.0007108 number dist
1880 0.001113999 number number
2040 0.0015799 dist dist
2120 0.0019166 number dist
1680 0.0007308 dist dist
2060 0.001623199 dist dist
2040 0.0015183 number number
2040 0.001528699 dist number
2000 0.0013746 dist dist
1880 0.001409901 number dist
2140 0.0019703 number dist
2140 0.0015809 dist number
2080 0.001502101 number dist
1820 0.001004 dist number
2180 0.0016903 dist dist
1880 0.000778799 number dist
2260 0.0018488 dist dist
2340 0.0022309 number number
2140 0.001908801 number dist
2160 0.001410099 number number
1880 0.0008588 dist number
2380 0.002948301 number dist
1680 0.000711301 dist number
2020 0.0014156 dist number
1680 0.0007574 dist dist
1820 0.000839401 number dist
1780 0.0007018 number dist
1760 0.0008804 number dist
1880 0.000838401 dist number
2160 0.001863299 dist number
2080 0.001330199 dist number
2120 0.001960701 dist dist
2040 0.001276499 dist dist
2020 0.001546599 dist dist
1660 0.0009592 number dist
2340 0.0024315 number number
2100 0.001102301 dist dist
2100 0.0017895 dist number
2160 0.001401201 number number
1760 0.000836199 dist dist
2100 0.0019017 dist dist
2120 0.001372899 number number
2020 0.001422199 dist dist
2120 0.0018521 dist number
2020 0.001393199 number dist
1780 0.000713999 number dist
2100 0.001314701 number number
2140 0.001955901 number dist
1660 0.000730699 number dist
2380 0.002011499 number number
1820 0.000731701 dist number
1660 0.0006732 number number
2140 0.001643099 dist number
1820 0.0007843 dist number
2080 0.0015876 dist dist
2160 0.001255101 number number
1880 0.0011232 number dist
2060 0.001625 dist dist
2340 0.0028003 number dist
2380 0.002498001 number dist
1780 0.0007807 number dist
2260 0.002471699 number dist
2180 0.001804301 dist number
1760 0.000826 dist number
1780 0.0006714 number number
2100 0.002268301 dist dist
1780 0.0007455 dist dist
2000 0.001265199 number dist
1980 0.0011697 dist number
1820 0.0008866 dist number
2080 0.0017066 number dist
1780 0.000704499 number dist
1680 0.000740799 dist number
1880 0.0008564 number dist
2440 0.0023351 number number
2380 0.0022855 number number
2160 0.001817801 number dist
1820 0.0008425 number number
2280 0.001310499 dist number
1780 0.000694901 number number
2260 0.001999901 number number
1840 0.001119801 dist dist
2380 0.0026727 number number
2440 0.0028138 number number
1960 0.0011566 number dist
1880 0.0008697 dist number
2080 0.0009327 dist dist
2200 0.0020657 number dist
2080 0.0017196 number dist
1880 0.0010169 dist number
1780 0.0009491 number number
1840 0.0007894 number dist
2180 0.001923 dist dist
2020 0.001232401 dist number
2420 0.001977799 number number
2320 0.002072899 number number
2020 0.0015988 dist number
1980 0.001304999 number number
2020 0.001540799 number dist
1760 0.000836499 dist number
2120 0.0018057 dist dist
1660 0.0007034 number dist
2080 0.001626599 dist dist
1780 0.000791099 number dist
2080 0.0017607 dist dist
2260 0.011857899 number dist
1780 0.000752401 dist number
1960 0.0011863 dist dist
2260 0.002120901 number dist
2320 0.001776101 dist dist
2100 0.002028201 number dist
1760 0.00093 number number
2100 0.001806 dist dist
2020 0.0014372 dist number
2300 0.0018914 number dist
2040 0.0009872 dist dist
2320 0.002213199 number dist
1960 0.0009261 number number
1940 0.000884 number dist
1760 0.000878099 dist number
1780 0.0007179 number dist
2160 0.002509 dist dist
2260 0.0020415 dist dist
2080 0.0017821 number number
2320 0.0015429 number number
1960 0.0018734 dist dist
2280 0.002198299 dist dist
1780 0.000715001 number dist
2380 0.0021484 number dist
2440 0.0032308 number dist
1780 0.000759901 number dist
1840 0.001045899 number number
1760 0.0009015 dist number
2320 0.0023713 number number
1760 0.000951699 dist number
2260 0.0020992 number dist
1760 0.0009772 number number
1880 0.001055201 number number
1980 0.0012788 number number
2220 0.0024135 dist number
1880 0.0016206 number dist
1880 0.000952901 dist dist
2060 0.001649499 number number
1880 0.0008689 dist number
2220 0.0020345 dist dist
2100 0.002076601 number dist
2160 0.0026529 dist dist
1680 0.0008284 dist dist
1820 0.000810199 dist number
1780 0.0006796 number dist
2080 0.001708899 number number
1780 0.0008352 number number
2260 0.002490899 number number
2260 0.0026387 number dist
1820 0.0007179 number number
2300 0.011429301 number dist
2260 0.001893101 number dist
2260 0.0025023 number number
1780 0.000701299 dist dist
2220 0.0020742 number dist
1880 0.000952499 dist dist
2380 0.0020715 number dist
2260 0.0018904 number number
2260 0.001893301 number number
1780 0.0007765 dist number
2240 0.001580199 dist number
1760 0.000911699 dist number
2020 0.001458801 dist number
2000 0.001304201 dist number
2060 0.0016103 dist number
2100 0.002030301 dist dist
2260 0.002649599 number number
2220 0.002198801 dist dist
1860 0.0012037 dist dist
2060 0.0018709 number dist
2320 0.0021362 number number
2260 0.002527001 number number
2020 0.001113399 dist number
2200 0.0017978 dist number
2080 0.001868001 dist number
1680 0.0008266 dist dist
2140 0.001899699 number number
1900 0.0013044 dist dist
2180 0.0017888 dist dist
1820 0.000772699 number number
2300 0.0030016 dist dist
1880 0.0009312 dist number
2160 0.001549299 number number
2040 0.001600199 dist dist
2320 0.002020301 number dist
2100 0.0013587 number number
2020 0.001476101 number number
1760 0.000938799 number number
1880 0.0011876 dist number
2260 0.001882999 number number
1880 0.000862999 dist number
1880 0.000874801 dist number
2220 0.0026012 dist dist
1960 0.001194 dist dist
2380 0.002789801 number dist
2260 0.002081699 number number
1660 0.000716801 number dist
2120 0.002037701 dist dist
1780 0.000706501 number number
1840 0.000792699 dist number
2260 0.0017546 number dist
1900 0.001040699 dist number
2260 0.0020003 number dist
2100 0.001831 number dist
2220 0.0011823 dist dist
2040 0.0017321 number dist
2120 0.001988801 dist dist
2020 0.001593 number dist
2260 0.0025036 number number
1960 0.001179801 dist dist
2040 0.0017955 dist number
2180 0.001708501 number dist
1660 0.000698599 dist dist
2140 0.001893699 number number
2040 0.001022299 dist dist
1660 0.000752599 number number
2080 0.0017559 number number
2020 0.001208999 number dist
2260 0.0019423 number dist
2140 0.0014956 number number
1820 0.0007827 dist number
2160 0.001688801 dist number
2100 0.001718999 number number
2260 0.002634499 number dist
1680 0.009835099 dist number
1660 0.000743001 number dist
1760 0.0008939 dist dist
2080 0.0016734 number number
1880 0.000965201 dist number
1860 0.0011058 dist dist
2380 0.002730201 number dist
2040 0.0014211 dist number
1880 0.0008852 dist number
2040 0.001252299 dist number
2320 0.0019645 number dist
2040 0.001051001 number number
2280 0.0013716 number dist
2080 0.0014515 dist dist
2320 0.002000101 number number
2120 0.002041499 dist number
1820 0.0008908 dist dist
1820 0.0010827 dist dist
1880 0.0011417 dist dist
2080 0.001579401 dist number
1780 0.000675499 number number
1660 0.000863101 number number
1760 0.000879999 dist dist
1660 0.0006738 number number
2020 0.001553401 number dist
1680 0.000754901 dist number
1880 0.000984701 dist number
1880 0.0011085 number dist
2040 0.001593501 number dist
2080 0.001756799 number number
2020 0.0014986 number dist
1840 0.0009521 number dist
1840 0.0007881 number dist
1780 0.000762099 number dist
2220 0.002268901 number number
2140 0.001733901 dist number
2000 0.000987999 dist dist
1680 0.000731 dist dist
1780 0.000729699 number dist
1980 0.0013673 dist dist
1660 0.000704699 dist dist
2260 0.0019461 number number
2040 0.001508001 dist number
2060 0.0016829 dist number
2180 0.001278299 dist dist
2080 0.0016682 number dist
2040 0.001324401 number dist
1780 0.0007464 number dist
2160 0.002015901 dist dist
2000 0.001472499 dist dist
2260 0.0018841 number dist
2380 0.0027702 number number
2100 0.0020557 dist number
2040 0.0014618 dist dist
1760 0.000876201 dist number
2260 0.002403199 dist number
2380 0.002241499 number dist
2220 0.0020709 dist dist
1980 0.0014444 number number
2100 0.001249399 dist number
2220 0.002391499 number dist
1840 0.0008643 number number
2040 0.001425 dist number
2160 0.001859599 dist dist
2200 0.001615999 number dist
1660 0.000889101 number dist
2260 0.002475 number number
2080 0.0017438 dist dist
1780 0.0006994 number dist
2300 0.0028674 dist number
2380 0.0020858 number number
2340 0.0023693 dist number
1660 0.0007998 number dist
2200 0.0023087 dist dist
1760 0.0010615 dist number
2000 0.0013015 dist dist
2320 0.002444001 dist number
2320 0.002402799 dist dist
1840 0.0007851 number dist
2040 0.0018239 dist dist
2260 0.0018873 number dist
2260 0.0026062 number dist
2040 0.0010159 dist dist
2280 0.002097401 number number
2320 0.002399199 number number
1960 0.001084599 number number
1880 0.0008528 dist number
2120 0.002045099 dist number
2380 0.002730201 number dist
1780 0.0007598 number dist
1760 0.0009089 dist number
2240 0.0012379 number dist
1780 0.0007193 number number
1780 0.000744501 number number
2100 0.0014617 number dist
2140 0.001307201 dist dist
1680 0.0007658 dist dist
1880 0.000902201 dist dist
1880 0.0008588 dist number
2000 0.0014442 dist dist
2120 0.001144599 number dist
2260 0.0112142 number dist
2380 0.002232301 number dist
1880 0.000899201 dist number
2160 0.0020774 dist number
2040 0.002013699 dist number
2380 0.0027325 number dist
2080 0.0016898 number number
2040 0.001568301 dist dist
1920 0.0009741 dist number
2020 0.001436699 dist number
2200 0.00157 number dist
2040 0.0021072 dist number
2340 0.002221201 number number
1820 0.0009316 dist number
2180 0.0022308 number dist
2180 0.0020839 dist dist
1840 0.0009355 number dist
2200 0.001811901 number number
1760 0.000894601 dist dist
2040 0.002211201 dist number
2080 0.002384501 dist dist
2220 0.002455299 number number
1960 0.000880099 number number
2280 0.0018938 number dist
1820 0.0008485 number dist
2180 0.001973799 dist dist
2140 0.0019821 dist number
2320 0.0018557 number number
1840 0.0009534 dist dist
1780 0.0007984 number dist
2120 0.002024399 dist number
2220 0.0023649 dist number
2000 0.0013722 dist dist
2460 0.0024874 number dist
1860 0.0008013 number number
2180 0.001791101 dist number
2020 0.001563501 dist number
1780 0.000759601 number dist
2040 0.001559899 number number
2200 0.001843301 number number
2220 0.002321099 number number
1980 0.0012944 dist dist
2340 0.002478501 number number
2140 0.0018865 number number
1980 0.001350099 number number
2260 0.002135301 dist dist
2140 0.001853199 number number
1760 0.000878301 dist number
1880 0.0011604 number number
2220 0.0124653 dist dist
2200 0.002297099 number dist
2340 0.0026165 number number
2140 0.0019336 number number
2440 0.0022409 number number
1780 0.0007264 number dist
2160 0.0016874 dist number
2120 0.001831601 dist dist
1820 0.000905001 dist dist
2040 0.0020725 dist number
2300 0.0029016 dist dist
1780 0.000750799 number dist
2160 0.002136 dist dist
2260 0.002558401 number dist
1900 0.000837399 dist dist
2260 0.002472101 number number
1660 0.000722201 dist dist
1780 0.000737099 dist dist
1880 0.000886399 number dist
2300 0.002925601 dist dist
2020 0.001423901 number number
2180 0.0022111 dist dist
1680 0.000720099 dist dist
2220 0.0015906 dist dist
2040 0.001239801 dist number
2200 0.001747999 dist number
2180 0.001604 dist dist
2560 0.0021061 dist number
2380 0.0021349 number number
1680 0.0009141 dist number
1780 0.0007705 number dist
2040 0.001399099 number number
2260 0.002738199 number dist
2100 0.0019632 dist dist
1840 0.0009118 number number
2260 0.001851 number number
2300 0.002784501 dist number
2120 0.001251 dist number
2440 0.001786001 dist number
2040 0.0021549 dist dist
1820 0.0007654 dist number
2020 0.001416301 number number
1920 0.0012465 dist dist
2100 0.0013686 number number
1660 0.0006907 number number
2620 0.002609601 number number
1880 0.000894499 dist number
1660 0.000751399 number dist
2260 0.001927501 number dist
2380 0.0118555 number number
2100 0.001962101 dist dist
2080 0.001674001 dist number
2200 0.0017215 number dist
2100 0.001307499 number number
2220 0.0023596 dist dist
1780 0.0007441 dist dist
2020 0.001661601 number dist
2300 0.0015906 number dist
1780 0.0007023 number number
1760 0.000849099 dist dist
2160 0.001698199 dist number
2140 0.0018096 number dist
2060 0.001326199 dist dist
2160 0.001589499 dist number
1980 0.001425 number number
1760 0.0009238 dist dist
2380 0.0020496 dist dist
2200 0.0015461 number number
2240 0.001864 dist dist
2340 0.002475499 dist number
2020 0.0014606 number number
2000 0.000860099 dist dist
1760 0.000854501 number number
2140 0.0021118 dist dist
1960 0.001316101 dist dist
1940 0.000849599 number number
2220 0.0016888 dist number
1780 0.000762401 number number
1760 0.0008559 dist number
1660 0.0007328 number dist
2140 0.001925 dist number
2100 0.001468901 dist number
1880 0.0009023 dist dist
2060 0.0017047 dist number
1760 0.0008874 number number
2140 0.0015495 number dist
1980 0.0013502 dist number
2000 0.001252 dist number
1780 0.000768101 number dist
2420 0.0028569 dist number
2120 0.0011081 number number
1820 0.000752999 number number
2300 0.0025815 dist dist
1820 0.000761301 number number
1660 0.0007142 dist dist
2040 0.0013877 dist dist
1780 0.000800101 number dist
2020 0.001446799 dist number
2160 0.001591901 number dist
2160 0.0108186 dist number
1820 0.000818 dist number
1760 0.000926399 number dist
1820 0.000764301 number dist
1760 0.000906499 dist dist
2160 0.0017114 dist number
2080 0.001652901 dist dist
1680 0.000757799 dist number
2380 0.002138 number dist
2280 0.002130899 number number
2380 0.002062201 number dist
1780 0.0007402 number dist
1860 0.0010429 dist number
2080 0.001868399 dist dist
1780 0.0007302 dist number
1980 0.001340299 dist dist
1780 0.000750601 number dist
2380 0.002297 number dist
2220 0.0023403 number number
1760 0.000920801 dist dist
1820 0.000871001 dist number
1840 0.000759299 number dist
2020 0.0014531 dist number
1760 0.0009124 number dist
2080 0.001675599 number dist
2260 0.002608501 number number
2120 0.001538901 dist dist
2360 0.002347201 number dist
2220 0.0022233 number dist
2080 0.0016718 dist number
1680 0.000733699 dist number
2000 0.0012758 number number
1780 0.000759499 number dist
2340 0.002318101 number number
2000 0.0011117 number number
1660 0.000728701 number dist
2260 0.002477099 number number
1880 0.000918099 dist dist
1840 0.0007371 number dist
2160 0.0022002 dist dist
2240 0.001442299 dist number
1780 0.000722401 number number
2380 0.0023373 number dist
2180 0.0022227 dist dist
1840 0.000934199 number dist
2460 0.002200099 number number
2240 0.0017033 number number
2100 0.001896301 dist dist
2140 0.001916599 dist number
1660 0.0007779 number dist
2180 0.012187 dist dist
2120 0.001922801 dist number
2180 0.002016099 number number
1660 0.0007078 dist number
1780 0.000747201 number dist
1660 0.000745701 number dist
1880 0.0009739 dist dist
2100 0.0025496 dist dist
2300 0.002695399 dist dist
2380 0.002216501 number dist
2340 0.002406701 number number
2080 0.0017217 dist number
2020 0.001406799 dist number
2260 0.001917899 number dist
1820 0.0010937 number dist
2160 0.002235301 dist dist
2080 0.0013625 number number
2420 0.002143601 number number
2080 0.0017229 number dist
1820 0.000765101 number dist
2380 0.0027448 number number
1760 0.000863499 dist number
2200 0.001997 dist dist
1980 0.0013712 number dist
1780 0.0007638 dist dist
2260 0.0020715 number number
1660 0.0007207 dist number
1820 0.0008277 dist number
2200 0.0018755 dist dist
1760 0.000904401 dist dist
