makespan time indicator criteria
9040 0.0111217 number number
8420 0.0073583 dist number
9280 0.0081824 number dist
9760 0.007668799 dist number
9340 0.0088281 number dist
9160 0.0119208 dist number
9420 0.0113412 dist number
8460 0.0081642 number number
10680 0.016637599 dist number
8600 0.0079792 dist number
9840 0.014439701 number dist
9540 0.0252258 dist number
9420 0.0185197 dist number
9240 0.015834701 number dist
8860 0.013611599 number number
8780 0.011981399 dist number
9180 0.0201564 dist number
8420 0.0083313 number number
8600 0.007874199 number dist
8600 0.008508401 number dist
9020 0.007929199 number dist
8820 0.008216799 dist dist
9860 0.0186052 number number
9260 0.0078364 dist dist
10240 0.0451826 dist number
8740 0.0081453 number dist
9760 0.012093601 number dist
8680 0.0106066 dist number
8660 0.010460701 number number
9640 0.009106699 dist number
9600 0.0077529 dist dist
8740 0.0157337 number number
8960 0.0070801 dist dist
9040 0.0110302 dist number
9340 0.0073116 dist dist
9520 0.006732501 dist number
8460 0.007407599 number dist
8900 0.0094152 dist dist
8040 0.007404899 number dist
9280 0.0097608 number number
9400 0.0108516 number number
8780 0.0208002 dist dist
9480 0.013153601 dist dist
9400 0.008144399 number number
9380 0.0093254 dist dist
9120 0.0072666 dist number
9460 0.0074647 dist dist
9340 0.0125088 number dist
9440 0.0072631 dist dist
9660 0.0371478 number number
9020 0.010288599 number number
10200 0.018032801 number dist
9920 0.020912299 dist dist
9320 0.0078356 dist dist
10380 0.0154519 dist dist
9020 0.032134101 dist number
9340 0.011136399 number number
9500 0.008990499 number dist
9320 0.009647999 dist number
9780 0.014806901 number dist
9020 0.010203501 number dist
10040 0.0147949 dist number
8980 0.011141999 number number
9440 0.0106763 number dist
9040 0.008520999 number dist
9540 0.0231526 number number
9960 0.0077889 dist dist
9640 0.0137401 number number
8760 0.0078362 dist dist
9720 0.0175208 number dist
9000 0.007575 number dist
9880 0.007773599 dist number
9800 0.0155227 number dist
9500 0.0088042 number number
9000 0.011984 number number
9760 0.0238681 dist dist
9680 0.009306399 dist dist
8660 0.0083092 dist dist
9640 0.037687001 dist dist
9880 0.0102241 dist number
9840 0.012338401 dist number
8540 0.014996001 dist dist
10600 0.0253834 number dist
9300 0.010282101 number number
9380 0.009922799 number number
9120 0.007192801 dist number
9060 0.0082832 number dist
9320 0.0073364 number number
8900 0.0071029 dist number
9100 0.006771599 number dist
8940 0.0092626 number number
9240 0.0306197 dist number
8860 0.0074562 dist dist
9380 0.008327799 number dist
10620 0.0089525 number dist
9380 0.0235206 dist dist
8400 0.0067735 number number
9780 0.007469601 number number
8840 0.013047601 dist number
9280 0.0091408 number number
9000 0.008884301 number number
8860 0.0072562 dist number
10520 0.0158402 number number
9380 0.0075596 dist number
10100 0.0247291 number dist
9000 0.019645001 dist dist
9200 0.010292801 number number
8860 0.0079597 number number
9480 0.012628701 number dist
9700 0.009429001 dist number
9280 0.017202501 number dist
9740 0.008081101 number number
9300 0.014099 dist dist
9520 0.0115742 number number
9540 0.0090364 number number
9360 0.0083426 number dist
9800 0.018710701 number number
9260 0.013437401 dist number
9360 0.0088586 dist dist
10040 0.0214801 number number
9500 0.009381501 dist dist
10240 0.019407401 number dist
9740 0.0074648 number number
8700 0.008661801 dist number
9320 0.0091045 number number
9080 0.017900801 dist dist
9940 0.0088858 number dist
9560 0.0121855 dist number
9080 0.016380999 dist dist
9420 0.012957201 dist dist
9580 0.013901 number number
9200 0.0093789 number dist
9620 0.0082419 dist number
9100 0.010336 number dist
9460 0.0279033 dist dist
9380 0.028984699 dist dist
9980 0.0102814 number dist
8860 0.0076603 dist number
8980 0.0089366 dist dist
10220 0.0276511 dist dist
8840 0.012489201 number number
9100 0.0106943 number dist
8860 0.0169911 dist number
8680 0.010604899 number number
9620 0.0413881 number dist
9240 0.019452 dist number
10080 0.015176701 number dist
9380 0.025870901 dist dist
9640 0.0085652 number number
9340 0.0210938 dist dist
9100 0.009264301 dist dist
9420 0.009382999 dist dist
9560 0.0152252 number dist
9740 0.010057 dist number
