makespan time indicator criteria
7700 0.007106599 number dist
7920 0.0137095 number dist
7240 0.006770399 dist number
7680 0.008757399 number number
7640 0.0106392 dist dist
8340 0.010434899 number number
7280 0.0094184 number number
8080 0.013085101 dist number
7780 0.0082341 number dist
7800 0.0083434 dist dist
8440 0.007748001 number dist
7780 0.0075088 number number
8100 0.022183801 dist dist
7320 0.007272101 number dist
7800 0.008953299 number dist
7540 0.0183684 number dist
7440 0.0121016 dist dist
7440 0.0074644 dist number
7860 0.012575199 number dist
8300 0.0126281 number dist
8540 0.0193182 number number
8140 0.0125209 dist number
8560 0.018590299 number dist
8140 0.016326501 dist dist
7660 0.007137401 number dist
7300 0.007260799 dist dist
7760 0.0110621 number number
8480 0.008320501 dist number
7840 0.007550299 dist number
7780 0.010678001 dist number
7400 0.0101997 number number
7200 0.0074044 dist dist
7660 0.0075269 number number
7760 0.0090077 number number
7580 0.008391401 dist number
7600 0.009005801 number dist
7840 0.0078292 number dist
7760 0.0133572 number dist
7980 0.013570601 dist number
8280 0.0075327 dist dist
7920 0.010640901 number number
8000 0.008858099 dist number
8800 0.0077474 dist dist
7880 0.0232924 dist number
7680 0.0076814 dist dist
8020 0.008469 dist dist
7140 0.0116388 dist number
7820 0.008751399 dist number
8940 0.0120383 number number
8100 0.0117225 number dist
8160 0.0130435 number number
7340 0.011361601 dist number
8640 0.0111618 dist number
8320 0.0123636 number dist
7660 0.0085205 dist number
7220 0.00847 dist number
7200 0.0075619 number dist
7440 0.0197681 dist dist
7380 0.010787 dist number
8400 0.011869401 dist dist
9560 0.020278501 dist dist
6940 0.009493199 number number
8500 0.0106605 dist dist
7280 0.009176299 number number
7280 0.0094744 number number
7560 0.007350699 dist dist
8380 0.0095793 dist dist
7340 0.0072057 number number
8040 0.012901301 number dist
7720 0.011268001 dist dist
8040 0.0127287 number number
7380 0.008233399 number dist
7960 0.0146859 number dist
7580 0.0087357 number dist
7080 0.0148976 number dist
7960 0.0096511 number number
8160 0.007692901 number dist
7940 0.012141 number number
8200 0.009098001 dist dist
7640 0.009116799 number number
7800 0.007725601 dist number
7560 0.0120392 dist dist
7020 0.0093659 number dist
7860 0.0094148 dist number
7520 0.0087808 number number
9880 0.007709699 dist dist
7780 0.007166001 number dist
8460 0.007376801 number dist
7380 0.0206699 number dist
7600 0.022037499 dist dist
7760 0.007191899 dist dist
7980 0.0152256 number dist
8580 0.010707099 number number
8060 0.0087424 number number
7720 0.0149302 dist number
7900 0.011675201 dist dist
7860 0.008234901 dist dist
8460 0.018987101 dist number
8260 0.011868999 dist dist
7460 0.0081276 dist number
7380 0.0091168 number number
8440 0.0177594 dist number
7780 0.0209855 dist number
7620 0.011067901 number number
8280 0.00739 number number
8300 0.0174069 number dist
8140 0.0131325 number number
7600 0.006855 number dist
7720 0.012138 dist dist
7540 0.009047501 number dist
7100 0.021285099 dist number
7360 0.0082052 dist number
8540 0.0165507 number number
8280 0.013216 dist dist
8460 0.009103199 number number
7960 0.007282501 number dist
8280 0.0126441 number number
8280 0.009235901 number dist
8140 0.0071786 dist dist
8660 0.0096995 number dist
7300 0.007461899 dist number
7820 0.009164401 number number
7100 0.009212001 dist dist
7960 0.018926299 dist dist
8100 0.0092696 dist number
7240 0.0075629 number dist
7420 0.009914999 number dist
7140 0.007497 dist number
8420 0.0236712 dist number
7240 0.010136601 number dist
7760 0.007496 dist dist
7360 0.0093419 number dist
8480 0.0116703 dist dist
10000 0.0141711 number dist
7560 0.0107846 dist dist
8700 0.0225175 number dist
8240 0.012311801 number number
8900 0.0104359 dist number
8100 0.016079301 dist dist
7380 0.012912199 number dist
8000 0.0087643 dist number
7660 0.0228537 number dist
7960 0.007223901 number dist
8480 0.0212953 dist number
7520 0.009464799 number number
8560 0.0092572 dist dist
7440 0.0114199 dist number
7680 0.010622099 number number
8420 0.009054999 number dist
8560 0.0111719 dist number
8980 0.026924199 number dist
7680 0.008102899 number dist
7680 0.010552899 dist number
7880 0.007500099 dist number
7000 0.0101995 number number
7860 0.0074308 dist dist
8140 0.0123649 number number
7120 0.010532199 dist number
8260 0.0171462 dist dist
7680 0.008401399 number number
9140 0.017389 number number
7740 0.0075782 dist dist
7000 0.014241201 number number
7340 0.009709201 dist dist
7820 0.010207799 dist dist
7780 0.0108967 number number
8240 0.009610601 dist dist
7500 0.012352701 number number
8220 0.0135524 number number
7440 0.009073099 number dist
7720 0.0095204 dist dist
6940 0.009634601 number number
7700 0.0073084 dist dist
8180 0.015405399 number number
7060 0.008661799 dist dist
7920 0.0083649 number number
7800 0.013004 dist dist
8100 0.021311499 dist dist
7840 0.0102824 dist number
8320 0.010196601 dist dist
9020 0.019236601 dist dist
7680 0.009692099 number dist
6760 0.007012801 dist dist
7680 0.008810001 dist number
7200 0.0066908 number number
7700 0.011478399 number number
8280 0.010143 number dist
7340 0.0083033 dist dist
6560 0.0092638 number dist
7920 0.012876 number dist
8220 0.0086687 number number
8700 0.009634801 dist number
7640 0.0071272 dist number
7580 0.015241601 dist dist
8440 0.008240801 dist number
7820 0.007966999 dist number
7680 0.0098744 number number
7740 0.0113227 number number
8720 0.0135794 number dist
7380 0.0118052 number dist
7520 0.009924401 number number
6980 0.029864399 dist number
8380 0.0111562 dist dist
8320 0.0105843 dist dist
7740 0.0075856 dist dist
8240 0.0108408 number dist
8500 0.019443299 number number
8120 0.0264542 number dist
8080 0.0073803 dist dist
8280 0.008803301 number number
7400 0.0105549 number dist
8440 0.0154557 dist number
8120 0.0263946 dist number
8720 0.009449699 number dist
7680 0.0080726 dist dist
7620 0.0088475 number number
8440 0.011147601 number dist
8380 0.0099285 dist number
9300 0.013042599 dist number
7780 0.006941 dist number
7680 0.007489501 number number
7540 0.028927501 number number
8680 0.0192294 dist number
8180 0.0129463 dist number
7500 0.0072305 number number
8940 0.012588801 dist number
8500 0.0149407 dist dist
7420 0.009402399 number number
8380 0.013010801 dist number
7660 0.010939699 number dist
7860 0.015234999 number dist
7560 0.010231899 number number
8200 0.012869901 number dist
7420 0.008000399 dist number
8200 0.0106145 dist dist
7640 0.0170509 number number
7440 0.0152242 number dist
7580 0.0117637 number dist
7800 0.006889299 dist number
8140 0.010592299 dist number
7500 0.008077101 number dist
7140 0.007842 number dist
7280 0.0091114 dist number
7600 0.010281 dist number
8040 0.012425599 number dist
8000 0.012013999 number dist
7820 0.0107918 number dist
9060 0.0113017 number number
7540 0.011363201 number number
7800 0.010301899 number dist
8640 0.020506799 dist number
7320 0.02211 number dist
7640 0.0143069 number dist
8700 0.0094152 dist number
8420 0.010717599 dist number
8220 0.011139301 dist number
9100 0.007442199 dist dist
8160 0.009183901 number number
7880 0.0105693 dist number
7820 0.0120639 number number
7680 0.01382 number number
7500 0.006806599 number dist
8960 0.028722799 dist number
7960 0.014977901 number number
7540 0.0124522 number number
7580 0.011851799 number number
6860 0.007127801 number dist
8800 0.022634601 number dist
7620 0.0075007 number dist
8260 0.009023901 dist dist
8020 0.0070667 dist number
7560 0.007680899 dist dist
8400 0.0184364 number dist
8680 0.027799501 number dist
7860 0.0131258 number number
7360 0.0108055 number number
7820 0.008276601 dist dist
7060 0.008785 number number
8080 0.0077907 dist dist
8240 0.009721 dist number
8160 0.009757701 number dist
7980 0.017686601 dist dist
8440 0.016761201 dist dist
8460 0.017554501 dist dist
8300 0.0082663 dist number
8040 0.0074439 dist number
7720 0.0092235 dist number
8260 0.015535099 dist number
7340 0.0072675 number number
8000 0.009463399 dist dist
7480 0.010421 dist number
7660 0.0097705 number number
8720 0.008126901 dist number
9200 0.0115214 dist dist
7020 0.0087186 dist dist
7820 0.0240133 dist dist
8080 0.007147199 dist dist
7740 0.0106498 number number
7900 0.0098859 number dist
8300 0.0076369 dist number
7680 0.017157801 number dist
7160 0.009126801 number dist
7700 0.0095086 dist dist
8140 0.0109679 number number
7280 0.0072547 number number
7440 0.009340099 number dist
8220 0.0122638 dist number
7560 0.014038899 number number
8480 0.021182599 dist number
7820 0.007392001 dist number
7660 0.008001699 dist dist
8300 0.007948901 dist dist
8840 0.007624301 dist dist
7760 0.007036399 dist number
9580 0.017071601 number dist
8480 0.010664501 dist number
8220 0.0085115 dist number
7880 0.0336346 dist dist
9120 0.0107294 dist number
7900 0.007665001 dist dist
7940 0.0119491 number dist
7280 0.0115042 number dist
7880 0.0169219 number number
7920 0.008968401 number dist
7880 0.007800699 dist dist
8900 0.018939599 number number
8100 0.0071478 number number
6920 0.0073561 number dist
7600 0.011965801 number number
7000 0.0078654 dist number
7640 0.014826499 number dist
9280 0.008772999 number dist
7360 0.028163 number dist
6980 0.0097496 dist dist
9020 0.0116615 dist number
7700 0.007085799 dist dist
7960 0.0136144 dist dist
7860 0.0106933 number number
8740 0.0098834 dist dist
7460 0.013356899 number dist
8600 0.0101788 number number
8800 0.0114833 dist number
7420 0.011220099 number dist
7580 0.008118601 dist number
7540 0.00759 number dist
7900 0.009780899 dist number
8940 0.0094627 dist dist
7900 0.026537099 number dist
7600 0.008759301 number number
7120 0.0097483 dist dist
7360 0.007595001 number dist
7760 0.0118914 dist number
7800 0.0133022 number dist
8180 0.0082709 dist dist
8600 0.010189499 dist number
7340 0.006815499 number dist
7040 0.0089481 dist dist
8420 0.014917899 number dist
7640 0.007855 dist number
7660 0.010900299 number number
8520 0.0179389 dist number
8420 0.0152117 dist number
7720 0.007594101 dist dist
8540 0.0119593 number dist
7720 0.017875999 dist number
7920 0.0082452 dist number
7960 0.009354 dist dist
7860 0.013824901 number number
7120 0.0071165 number number
7120 0.017745199 dist number
7900 0.0077811 dist dist
7000 0.011498299 dist number
7940 0.0116211 number dist
8460 0.0162926 dist dist
8200 0.008349099 dist dist
8600 0.015250301 dist dist
7520 0.0117177 dist number
7400 0.0077213 number number
7940 0.0198385 number number
7320 0.011154001 number dist
7940 0.014621 dist dist
8120 0.007056901 dist number
8460 0.007251901 dist number
8240 0.0117428 dist number
8120 0.0118666 dist dist
8040 0.0127548 number dist
7360 0.0086492 number dist
7780 0.0080003 dist number
8300 0.010159001 dist number
7840 0.009050899 dist number
7500 0.0077632 dist number
8040 0.0241417 dist number
7180 0.0089709 number dist
7700 0.0103697 number dist
7660 0.009355899 number dist
7520 0.011358401 number dist
7700 0.007624599 dist number
8100 0.016477899 dist dist
6800 0.0073483 number dist
7840 0.009669101 number dist
6920 0.0118008 dist dist
7840 0.009198299 dist number
7800 0.007920901 dist dist
8260 0.018284199 number number
7300 0.0066124 number dist
9160 0.0123653 number dist
7640 0.012050299 number dist
7820 0.0106794 number dist
8740 0.012274001 number dist
7760 0.010134001 number dist
7460 0.0086515 dist dist
7760 0.009444099 number number
8040 0.0073302 dist number
8700 0.0095154 dist number
8240 0.036351901 dist dist
8340 0.013102799 number dist
8100 0.013071799 dist dist
8220 0.012291 dist dist
7040 0.008643299 number dist
7680 0.014174799 dist number
7820 0.007831099 number number
7380 0.0076253 number dist
6960 0.0086497 dist dist
7720 0.0124015 number dist
7980 0.007553901 dist number
8640 0.025590701 number dist
7780 0.007110001 dist dist
7620 0.008886001 number number
7560 0.0105458 number dist
7900 0.021160299 number dist
7180 0.008832201 number number
7020 0.009198201 number number
7640 0.010464501 dist number
8120 0.01147 dist dist
7420 0.0099644 number dist
7860 0.008896101 dist number
8700 0.013839099 dist dist
7280 0.009505399 number number
7400 0.008364999 dist dist
7080 0.012226399 number dist
7420 0.008210601 dist number
7840 0.0074763 number number
7740 0.011812501 number dist
7640 0.009121201 dist dist
7320 0.009442999 number number
8500 0.015218699 dist number
8160 0.009157199 number number
7380 0.0079703 dist number
8200 0.0084626 dist number
7340 0.011491899 number number
9160 0.0092403 dist number
7500 0.0076458 number dist
8000 0.008963101 dist dist
7400 0.0083796 number number
8100 0.0098001 number number
9480 0.016854299 dist dist
7920 0.013906699 dist number
8180 0.022707399 dist dist
7940 0.009001999 dist number
8060 0.0096527 dist number
7360 0.0069598 number number
8140 0.014686799 number number
7900 0.0066152 number number
7900 0.007379801 number dist
7840 0.0133014 dist dist
9180 0.009103099 number dist
7980 0.0105357 dist dist
8420 0.010923499 dist dist
7700 0.009126199 number dist
7360 0.0111191 number number
7400 0.0126825 number dist
7600 0.013745499 dist number
9680 0.0211799 dist dist
7240 0.027965399 dist number
7560 0.0107872 number number
7960 0.007721999 number number
8560 0.0089665 dist number
8300 0.007425499 number number
7200 0.007254501 dist number
7180 0.0121217 number number
8260 0.007237101 number number
7640 0.008807099 number number
7600 0.014097701 dist dist
7100 0.0075547 dist number
7740 0.007996799 dist number
7240 0.011194701 number dist
7140 0.009233299 number number
8220 0.0082018 dist number
8220 0.0073605 dist number
7260 0.0076547 number dist
7880 0.0093739 dist number
8120 0.012956201 number number
7820 0.0233129 number number
8540 0.008229501 dist number
7600 0.014850601 number dist
7840 0.0072973 dist dist
8440 0.031295799 dist dist
7580 0.008117601 dist number
7620 0.011500901 dist dist
7220 0.008067701 dist number
7880 0.0143968 number number
8040 0.0105812 number number
7340 0.0100268 number dist
7920 0.0134133 dist dist
8020 0.008232701 dist number
7500 0.009442 number number
7560 0.010525101 number dist
6920 0.0069066 number dist
7500 0.010485701 number dist
8180 0.0142605 dist number
7380 0.012265701 number number
7920 0.0187528 dist number
7960 0.011993999 number number
7760 0.0080507 number dist
6940 0.0075945 dist number
7620 0.0086653 dist dist
7560 0.0069904 dist number
7620 0.012384901 number number
7280 0.0151227 number dist
8080 0.0073404 dist dist
8520 0.012868699 dist number
7800 0.0236304 number number
7580 0.0081124 dist number
9100 0.008862899 dist number
7400 0.009775099 number dist
7820 0.008689799 dist number
7920 0.013144899 number dist
7720 0.007638799 dist dist
7320 0.008592 dist number
7740 0.009143499 dist number
8400 0.0083353 number number
7900 0.0204396 number number
8580 0.0097391 dist number
8160 0.0077152 number dist
8100 0.0077298 number number
7380 0.0153947 number number
7780 0.011615201 dist number
7400 0.0081745 number dist
7360 0.007740701 dist number
7680 0.0096746 number number
7760 0.0094456 number number
8100 0.011127101 dist dist
7520 0.011413501 number dist
8880 0.024922499 number dist
7320 0.008325999 dist number
7780 0.006818901 number dist
7800 0.012190701 number dist
7000 0.0075423 dist number
9040 0.016292901 number dist
7240 0.010195201 dist dist
8340 0.012012899 dist dist
7140 0.0072305 dist number
7820 0.0076134 dist dist
7460 0.0090421 dist dist
7920 0.008547001 dist number
8280 0.008363199 dist dist
7560 0.0098856 number dist
7600 0.007629801 number dist
8040 0.0251547 dist dist
7740 0.0071931 number number
7900 0.012214999 number dist
7100 0.007463299 dist number
7500 0.0109633 number dist
8200 0.013809999 number number
8400 0.010666301 number number
8040 0.013127201 number number
6840 0.009566899 dist dist
7800 0.009047299 dist number
7800 0.009356901 dist dist
7560 0.0077807 dist dist
8380 0.012653901 number dist
8400 0.011909599 dist dist
7840 0.010071799 dist number
7740 0.0264357 dist number
8180 0.009108 number number
8120 0.015156499 number number
7300 0.007184499 dist dist
7820 0.0113458 dist dist
7280 0.010892899 number dist
8240 0.0220773 number number
7720 0.013235099 dist number
7240 0.007824101 dist number
8160 0.0087206 dist dist
7780 0.008852999 number number
7980 0.007723401 dist dist
7900 0.0076471 number number
8800 0.0142564 dist number
7600 0.0092294 dist number
7660 0.011308299 number number
7980 0.020266401 dist number
7720 0.011190301 number dist
8820 0.015618599 dist dist
8380 0.0107856 dist dist
7800 0.036937101 dist dist
8040 0.013645199 number number
7140 0.007196801 number number
7760 0.0082902 dist number
7520 0.0091144 number number
8760 0.010081101 number dist
7460 0.0070658 number number
8320 0.007701301 number number
7720 0.012506301 number dist
7640 0.010902399 number number
8240 0.0125203 dist number
8120 0.017404 dist dist
8440 0.0093341 dist dist
7780 0.0126596 number dist
6780 0.0069215 number dist
7500 0.011737501 number dist
8200 0.008026599 dist number
8160 0.0080174 number number
7840 0.0077372 dist number
8000 0.006952401 dist number
7700 0.007599599 dist number
8560 0.014883901 dist number
6880 0.0071969 number number
7020 0.0081078 dist number
8700 0.021731 number dist
7500 0.011807001 number number
7580 0.014054799 number number
6820 0.0088744 number dist
7200 0.0075741 number number
8940 0.0102979 dist number
8580 0.020592501 number dist
7300 0.009520999 number dist
7460 0.007543699 dist number
8180 0.009883 number dist
7760 0.009577999 dist number
7580 0.010383301 dist number
7760 0.007440401 dist number
8160 0.007667901 dist number
8000 0.0094194 dist number
7980 0.0150629 dist number
7400 0.007844799 number dist
7800 0.0073352 dist dist
7620 0.010322501 number dist
7400 0.007825 number number
7440 0.0106653 number number
7640 0.011262599 number dist
7820 0.0178427 number number
8280 0.01259 number dist
7960 0.008613601 dist number
7460 0.0111417 number dist
7480 0.009745799 dist dist
7340 0.008733601 dist number
8380 0.010541301 number dist
8580 0.019761201 dist number
8520 0.009084 number dist
7560 0.0122946 number dist
8200 0.010011201 dist number
8520 0.0185942 dist dist
8300 0.0219204 dist number
7040 0.008296101 number number
8720 0.0251598 number number
7600 0.0087432 number number
8300 0.007664799 dist dist
7500 0.0148699 dist dist
8800 0.0112828 number number
7540 0.008093901 number number
7680 0.0076891 dist number
8140 0.009833999 dist number
7660 0.0102354 dist dist
8280 0.0085674 dist dist
8780 0.028589099 dist dist
7160 0.007300001 dist number
7900 0.0073865 dist dist
7420 0.009611601 number number
6960 0.012262299 dist dist
7580 0.015703401 dist number
8020 0.0101065 dist number
7600 0.0077 number number
8320 0.0099766 number number
8520 0.009174101 number dist
7300 0.007760001 number number
7360 0.013073399 number number
8220 0.0101381 dist dist
7740 0.0069533 number number
7620 0.011391601 number dist
7320 0.014051599 number number
7640 0.0117927 number dist
8180 0.0087051 dist dist
8560 0.016350599 dist dist
8960 0.009229699 number dist
7400 0.007473201 number dist
7820 0.0101335 dist dist
7580 0.010512901 dist dist
7500 0.007405501 number number
8440 0.0136584 dist number
7900 0.007253401 number number
7220 0.008222699 number dist
8700 0.0138634 dist dist
7780 0.018959701 number number
7860 0.011376699 dist dist
8560 0.0080112 dist dist
7580 0.008072499 number dist
8720 0.0130278 number dist
7240 0.0072307 number number
7780 0.0085656 dist dist
7360 0.0117243 number dist
7740 0.007229399 dist dist
7720 0.0094277 dist number
7820 0.011387199 dist dist
8260 0.007871 dist dist
8400 0.010861801 dist number
7860 0.013635 dist dist
7400 0.013571199 number number
8240 0.010128799 dist dist
7980 0.00758 dist dist
8280 0.022824799 number dist
7760 0.0079479 dist number
7340 0.0078284 number dist
7480 0.016268099 number dist
8820 0.039480999 dist number
7980 0.0160188 number dist
8060 0.011931501 number dist
8280 0.0144171 number number
8420 0.011433499 number number
7860 0.0105121 dist number
7360 0.009332599 number number
8540 0.008614401 number dist
7420 0.011249401 dist number
7420 0.011372699 number number
7120 0.0110469 number dist
7720 0.009860399 number number
8240 0.009024101 dist dist
7780 0.0086087 dist dist
8220 0.007520101 dist number
8400 0.0082252 dist number
7260 0.008899899 number dist
7400 0.008844899 number number
8320 0.015523299 number dist
8040 0.0077865 dist number
7580 0.0095618 number dist
7880 0.0093379 dist number
8020 0.0101897 dist dist
7320 0.0068401 number dist
8340 0.012220401 dist number
7760 0.020725099 number dist
7220 0.007349401 dist dist
7940 0.0122633 number dist
8300 0.0127824 number dist
7340 0.0106977 number dist
7540 0.017034699 number number
9060 0.0143744 number dist
7640 0.008941999 dist number
7480 0.0102986 dist dist
7820 0.019341801 dist number
7960 0.0099793 dist dist
7700 0.014197699 number number
7000 0.007995399 number number
7280 0.0105953 number number
7480 0.010717401 number number
8280 0.010589399 dist dist
8220 0.0151393 dist dist
7580 0.009485499 number number
8160 0.0074597 dist number
8220 0.0141759 dist number
8040 0.0256107 number number
7400 0.007567801 dist number
7380 0.0076783 number dist
8060 0.011623199 dist dist
7660 0.0084311 dist dist
7420 0.0116494 dist dist
7240 0.0086793 number number
8360 0.010891299 dist dist
8320 0.014144401 dist number
8700 0.0141957 dist number
7860 0.014650901 number dist
7040 0.0067624 number dist
7340 0.0076832 number dist
6980 0.007893101 number dist
7280 0.00881 number number
7800 0.0082558 dist dist
7320 0.0107924 number number
8180 0.0207813 dist number
8400 0.009104701 number number
7540 0.008246401 number dist
8000 0.0131295 dist number
7920 0.007324801 dist number
7260 0.0112485 dist dist
8020 0.029937701 dist dist
7840 0.007267 dist number
7820 0.012367401 dist number
8040 0.016823099 number dist
7740 0.009599301 number dist
7960 0.020395699 number dist
7600 0.011390999 number number
7780 0.0135947 dist number
8160 0.011444201 number number
7580 0.008412599 dist dist
7180 0.0070946 dist dist
6660 0.0069688 number number
8560 0.012961699 dist dist
7540 0.011652099 number dist
8120 0.0074067 dist dist
7420 0.0216542 number dist
7260 0.009018699 number dist
8100 0.009599 dist dist
7960 0.011068899 dist dist
8140 0.0123113 dist dist
8960 0.014322999 number dist
7760 0.020755999 dist dist
7560 0.012015999 number dist
8560 0.0113207 number number
7040 0.007039301 number dist
7140 0.008750601 number number
7600 0.012628299 dist dist
8260 0.010401899 dist dist
7280 0.0073638 number dist
6960 0.0074163 number dist
7900 0.025245901 dist dist
7320 0.012106199 number number
7080 0.009498601 number dist
7760 0.009060701 number number
8060 0.012057099 number number
7860 0.008104099 number number
7400 0.009695699 number dist
8080 0.012162601 number dist
8500 0.0120597 dist dist
7980 0.007374699 dist number
7500 0.008391399 dist dist
6820 0.007409001 dist number
7720 0.016340801 dist number
7840 0.0146631 number dist
7420 0.008358301 dist number
7560 0.0128428 dist number
7400 0.0071299 number dist
7980 0.012483 number number
8520 0.009485301 dist number
8700 0.018947101 dist dist
7520 0.009200899 dist dist
7840 0.0080833 number number
6800 0.0082508 number number
7560 0.020764799 dist number
8520 0.0317337 dist dist
7980 0.012004201 dist dist
7020 0.014715301 number dist
7120 0.015108701 dist number
7660 0.0069489 dist number
7500 0.0072639 dist number
8960 0.020068 dist dist
6820 0.010529801 number dist
7180 0.013614601 dist number
8680 0.023150699 dist number
7720 0.0074114 number dist
7720 0.0067278 dist number
7720 0.0086252 number dist
8200 0.009762999 dist dist
7020 0.020400701 number number
7940 0.007437501 number dist
8100 0.007848599 dist dist
7380 0.007000101 dist dist
7040 0.0070467 dist dist
7460 0.008130599 dist dist
7880 0.008653899 number number
7780 0.008307301 dist number
7420 0.008895701 number number
8360 0.0122934 dist dist
7720 0.008268399 dist dist
7000 0.0067117 number number
8580 0.009228 dist dist
7540 0.0106018 number number
8200 0.007320001 number dist
7700 0.0126157 dist number
7500 0.007294601 number number
8220 0.024427 dist dist
8780 0.0099414 number dist
7520 0.0074199 number number
8200 0.015408399 dist number
7140 0.0071057 number dist
7640 0.0074672 number dist
8060 0.0175077 dist dist
8680 0.0175257 dist dist
7380 0.014333799 number number
8700 0.0083276 dist number
7400 0.007319 dist number
7500 0.007399099 dist dist
7980 0.010761 number dist
8480 0.0354503 dist number
7640 0.007766101 dist number
7440 0.010108699 dist dist
7180 0.021314899 number dist
7200 0.0082828 dist number
