makespan time indicator criteria
15890 8.8817866 number number
12350 3.156365201 number dist
14790 6.088699199 number number
13780 5.184847799 dist number
13660 3.955064799 number number
13780 7.590709201 dist dist
14600 5.187703001 number dist
12980 3.3539092 dist number
14100 8.3261566 dist dist
12570 5.431220601 dist dist
13080 6.3157816 dist dist
15800 8.9860417 number dist
13190 5.602004499 dist dist
12470 3.932553799 number number
14280 4.6894429 number number
12460 2.8279968 dist number
13330 5.754923899 number number
14580 5.3848927 number number
13750 4.611245701 dist number
14390 5.248835999 number number
16700 6.043290601 number dist
13690 3.619714299 number dist
14420 5.224285399 number dist
14380 6.4963699 dist dist
16950 7.9784752 number dist
13070 5.0983461 number number
15330 5.871771301 number dist
12740 6.1706572 dist dist
13720 4.579226701 number dist
15590 5.074112 number dist
13770 6.151526001 dist number
12330 5.554901001 dist number
13370 4.9637499 dist dist
13510 3.8886412 dist dist
13200 4.0442092 number number
14850 4.416290299 number dist
19240 7.101393901 number number
12920 6.245507101 dist number
12960 5.294603 dist number
14300 5.020928501 dist number
14230 5.0266781 number number
14320 5.5876018 dist dist
13580 5.704955501 dist dist
12220 3.9038004 dist dist
13020 5.572398099 dist number
12180 3.8159338 dist dist
13180 5.378138399 dist number
14530 4.029855 number dist
12680 4.600380699 dist number
13900 4.5810187 number dist
14690 4.858252501 number dist
12400 4.339535601 dist dist
12840 3.9159474 dist number
14860 4.5591533 number dist
12730 6.293056899 dist number
15760 6.0923631 number number
16000 6.0759889 dist number
12640 4.106140499 dist dist
13470 5.8826786 number number
15540 5.321959499 number number
13630 4.1103452 dist dist
14610 4.7348171 number dist
12840 5.7305371 dist number
13770 5.136988599 number dist
15820 5.4100476 number number
14320 5.5046375 number dist
13210 4.932845601 dist number
16250 7.2031101 number number
14650 6.1743481 number number
14170 4.8586958 number dist
13650 4.215164799 dist number
12060 2.8808951 dist dist
13340 7.403147201 dist number
17580 7.680482199 number number
12870 3.2538939 number dist
12930 5.047687 dist number
13690 4.9521407 dist dist
13940 5.987802301 dist number
13390 4.789583601 dist dist
13120 6.6971562 dist number
12570 6.242056001 dist number
12470 4.717422401 dist number
13730 5.5455611 dist number
16360 6.810795 number number
12780 6.099234501 dist number
14860 3.932457501 number dist
