makespan time indicator criteria
1720 0.0023542 number dist
1640 0.001581199 dist dist
1660 0.003058899 number number
1920 0.0022729 number dist
1580 0.0011802 number number
1960 0.002149799 number dist
1540 0.001495 number number
1540 0.001419001 number dist
1840 0.002646801 number dist
1640 0.001561701 number dist
1700 0.0014179 number dist
1380 0.000775101 dist number
1660 0.002121801 dist dist
1600 0.0013915 number number
1620 0.0018699 number dist
1800 0.002310599 number dist
1420 0.001153201 dist dist
1620 0.001554299 dist number
1520 0.0015336 number dist
1540 0.0016855 dist dist
1540 0.001483201 dist dist
1440 0.001256601 dist number
1540 0.0014364 dist number
1820 0.0019499 dist number
1560 0.0016891 dist dist
1460 0.001098699 number dist
1560 0.0016503 number number
2100 0.0034598 number number
1560 0.001389201 number dist
1440 0.001247899 dist number
1420 0.0011646 dist number
1620 0.001611699 dist number
1620 0.0020454 dist dist
1880 0.003809001 number dist
1540 0.001533499 dist dist
1600 0.001777 number dist
1660 0.001385201 dist number
1660 0.001823099 dist dist
1380 0.0008342 dist number
1660 0.00159 dist number
1480 0.0012558 number number
1420 0.001136701 dist number
1620 0.0022006 dist dist
1500 0.001126301 number number
1460 0.0012102 number number
1700 0.0018408 dist dist
1600 0.001741101 number number
1660 0.0018821 dist dist
1560 0.0016236 number dist
1660 0.0018627 dist number
1900 0.0023659 number dist
1540 0.001497499 dist dist
1500 0.001136599 number number
1540 0.0012061 dist dist
1640 0.001978301 number number
1720 0.002445899 number dist
1560 0.0016637 number dist
1800 0.0022656 dist number
1460 0.000952099 number dist
1880 0.0022634 number dist
1660 0.0021095 number dist
1640 0.001454399 dist number
1600 0.0021444 dist dist
1620 0.002041301 number number
1620 0.0020973 dist dist
1980 0.0022419 dist number
1660 0.0020063 number dist
1620 0.001319701 number dist
1660 0.001111201 dist dist
1560 0.001366801 number number
1600 0.0012606 number number
1500 0.0014672 dist dist
1860 0.0026618 number dist
1580 0.001228 dist dist
1640 0.0023171 dist dist
1540 0.001487199 number dist
1480 0.001214801 dist number
1420 0.0011161 dist number
1900 0.001916601 dist dist
1560 0.0012175 dist number
1740 0.002239099 number number
1600 0.001561499 dist dist
1520 0.0010084 number number
1600 0.002011101 number number
1660 0.001919399 number dist
1940 0.014043101 number dist
1620 0.0019282 number number
1620 0.0017304 dist dist
1660 0.001903401 number dist
1380 0.000866201 number dist
1460 0.0012184 number dist
1560 0.001623899 number number
1600 0.001775101 number dist
1720 0.0020275 dist dist
1620 0.0015471 dist dist
1460 0.001188301 number dist
1660 0.001895099 dist number
2100 0.003071599 number dist
1660 0.001819401 dist dist
1440 0.0012735 dist dist
1380 0.000852501 dist number
1560 0.0016291 dist dist
1640 0.0017073 dist number
1660 0.001815099 dist number
1460 0.001010099 number dist
1560 0.001514999 dist number
1760 0.001164899 number number
1640 0.001718901 number dist
1840 0.002084799 number dist
1640 0.002072499 number dist
1960 0.002219799 dist number
1540 0.0012112 dist number
1600 0.001875399 number dist
1500 0.001382899 number dist
1520 0.001368201 number number
1700 0.0019532 dist dist
1540 0.0017502 dist dist
1700 0.002186599 number number
1640 0.001904601 dist number
1660 0.001548999 number number
1720 0.0019969 dist dist
1660 0.0017932 number number
1640 0.0016808 dist dist
1580 0.0015667 number number
1600 0.001394199 dist number
1440 0.0011819 dist number
1860 0.0026677 number dist
1600 0.0013871 dist number
1460 0.0011221 number dist
1600 0.001942199 number dist
1640 0.001604199 number dist
1380 0.0008268 number number
1600 0.001362201 number number
1620 0.0018519 dist number
1660 0.0018781 number dist
1720 0.001697199 dist number
1540 0.001558 dist dist
1500 0.001321401 dist number
1540 0.001876599 dist number
1580 0.001340901 dist dist
1880 0.002671799 number number
1660 0.001793601 number number
1940 0.002961701 number number
1420 0.0012091 dist dist
1780 0.010616901 dist number
1560 0.0014779 dist number
1380 0.000808601 dist number
1640 0.001982501 number number
1560 0.001140001 number number
1660 0.001863301 dist dist
1540 0.0012194 number dist
1380 0.0008384 number dist
1740 0.001795099 dist number
1640 0.0011626 dist dist
1700 0.001244201 number dist
1500 0.0013289 dist number
1540 0.0011783 number dist
1580 0.001257701 number number
1660 0.0023208 dist number
1660 0.0019406 number number
1600 0.0017029 number number
1620 0.001951399 number number
1600 0.0018848 dist dist
1520 0.001389601 number number
1600 0.0016196 dist number
1700 0.0016865 dist number
1480 0.001532501 dist dist
1860 0.0017352 number number
1460 0.001229801 number dist
1420 0.001281301 dist number
1920 0.0024307 number number
1460 0.0009144 number dist
1680 0.001847999 dist dist
1420 0.0011298 dist dist
1380 0.000841201 dist number
1660 0.002255299 number dist
1660 0.001829 number dist
1680 0.0018066 number dist
1860 0.002779799 dist dist
1420 0.001195899 dist dist
1500 0.001374699 dist dist
1900 0.002824901 number dist
1580 0.0011455 number number
1460 0.0009036 number dist
1600 0.0017806 number dist
1660 0.001704199 number number
1660 0.0017849 dist number
1700 0.0019473 number dist
1600 0.002027701 dist dist
1640 0.001968599 number dist
1660 0.0019906 dist dist
1600 0.001731799 number dist
1660 0.001520301 number number
1480 0.0012107 dist number
1600 0.001731801 number number
1740 0.001322101 number dist
1660 0.0019199 dist number
1740 0.002154999 dist dist
1660 0.0017498 number dist
2000 0.002741199 number number
1600 0.001610999 dist number
1560 0.001672099 number number
1960 0.002303801 dist dist
1540 0.001093201 dist number
1620 0.001362999 dist number
1420 0.0011594 dist dist
1600 0.0016141 dist number
1780 0.001267399 dist number
1940 0.002935299 number dist
1640 0.0019759 number dist
1620 0.0017414 number number
1620 0.001598599 dist number
1620 0.001871001 number number
1620 0.0020701 number number
1420 0.001183301 dist dist
1660 0.001836901 dist dist
1600 0.001786599 number dist
1680 0.001444801 dist dist
1580 0.0015421 dist number
1640 0.001945799 number number
1880 0.002725299 number number
1620 0.001397799 dist dist
1480 0.001135901 number dist
1740 0.0018599 number dist
1520 0.0013555 number number
1540 0.001409301 dist number
1520 0.0015095 dist dist
1660 0.0017553 dist dist
1420 0.001136399 dist number
1880 0.002004601 dist number
1560 0.001373599 number number
1600 0.0017276 dist number
1560 0.0016083 number number
1500 0.001168901 number dist
1720 0.001642699 number dist
1700 0.0019195 dist dist
1500 0.0013657 number number
