makespan time indicator criteria
1860 0.001732101 dist dist
1720 0.000889701 number number
1860 0.0013039 number dist
2060 0.0015521 number number
2260 0.002908499 number number
1980 0.001375 number dist
2060 0.0020071 dist number
1960 0.0010559 dist number
1660 0.000770901 dist number
1720 0.000724701 dist number
1940 0.0011262 dist dist
1920 0.001177101 dist dist
1860 0.000986201 number number
1720 0.000749999 dist dist
1780 0.0009164 number dist
1860 0.001029301 number dist
1920 0.001436099 number number
1720 0.000778599 dist dist
2060 0.001399499 dist number
2160 0.002122999 number number
1860 0.001051901 number dist
2080 0.001430099 number dist
2300 0.0023417 number number
1900 0.00111 dist number
2260 0.0023586 number dist
2020 0.0014853 dist number
1720 0.0007387 dist number
1860 0.0010215 number dist
1860 0.0009939 dist number
1900 0.0009647 number number
1840 0.000807801 number dist
2120 0.001947599 number dist
1860 0.001110501 dist dist
1720 0.0007604 dist number
1860 0.001022201 number dist
1860 0.00101 number number
1840 0.000830399 number dist
2040 0.0016035 number number
2260 0.0019213 dist number
1960 0.001964399 number dist
1860 0.0011036 number number
1780 0.001437499 dist dist
1960 0.001541599 number number
2120 0.002342399 dist dist
1720 0.0008204 dist number
1860 0.001060799 number number
1860 0.001079899 number dist
1860 0.001091099 dist dist
2040 0.0016701 number dist
1980 0.0011741 dist dist
1840 0.000949199 dist dist
1860 0.0010354 number number
2240 0.001953499 dist dist
2260 0.0024235 number dist
1720 0.000851299 dist dist
1920 0.001117001 dist number
2000 0.002336799 dist dist
1900 0.001066101 dist number
1860 0.001059199 number number
1860 0.000809599 number number
1860 0.0010157 number number
1860 0.0010288 number dist
2000 0.001441 dist number
1860 0.001130301 number dist
1780 0.0008789 dist number
2180 0.0024045 dist dist
1660 0.000857 number number
1880 0.000936501 number dist
1720 0.0008158 dist dist
1720 0.0009138 number dist
1860 0.001166001 number number
1660 0.000847899 number number
1860 0.0009812 dist number
1860 0.0010104 dist dist
1660 0.0007824 number dist
1660 0.000755401 dist number
1900 0.0010722 dist number
2440 0.003026701 number number
1860 0.0009625 dist number
2040 0.001719699 number number
2020 0.001177601 dist dist
1720 0.0007178 dist number
1780 0.0009448 dist dist
1720 0.000755299 number number
1720 0.001016799 dist number
1980 0.001329399 number dist
1840 0.0008346 dist number
1860 0.000727399 dist number
1660 0.000772 number number
1800 0.0009024 dist number
1860 0.0009788 number number
1840 0.0008904 dist dist
1860 0.000772601 number dist
2040 0.001725801 number dist
2280 0.0122797 dist number
2300 0.002396 number number
1860 0.001014799 number dist
1860 0.001007501 number dist
2420 0.002989 dist dist
1660 0.000756099 number number
2060 0.001645 number dist
1720 0.000772801 number dist
1860 0.0009466 number number
2040 0.0014914 number number
1920 0.0009359 dist dist
1720 0.000776201 dist number
