makespan time indicator criteria
5380 0.1692699 dist dist
6100 0.2848976 dist number
6620 0.1612255 number number
6020 0.135250699 number number
5930 0.195677401 number dist
6460 0.176048401 dist number
6520 0.1864476 number dist
6170 0.1692083 dist dist
6580 0.1772224 dist dist
5560 0.210879799 number dist
6210 0.1329276 dist dist
5860 0.147536101 number number
7070 0.229895199 number number
5980 0.1693225 number number
7340 0.122937401 dist number
5740 0.240657299 number number
6720 0.2139661 number dist
7040 0.183996899 number number
7410 0.244802101 number number
6270 0.1627371 dist number
6470 0.1577315 number dist
7310 0.2051922 number number
6390 0.146261901 number number
5710 0.1675642 number dist
6410 0.274518499 dist number
5770 0.1599103 dist dist
5110 0.0901673 dist dist
6430 0.1672818 dist number
5220 0.119189499 dist dist
5790 0.192953199 dist dist
6030 0.128791501 number number
5890 0.179775099 dist dist
6430 0.210358499 dist number
6300 0.148629099 dist number
6500 0.1749632 number dist
6090 0.18677 dist dist
6180 0.147090201 number dist
6480 0.208629899 number number
5450 0.148522401 dist number
6250 0.215746401 number dist
5240 0.093555101 dist number
6080 0.158736999 number number
6000 0.128919301 dist dist
6330 0.177835099 number number
5040 0.159133201 dist dist
6360 0.188963899 number number
7540 0.247468 number dist
5510 0.1390515 number dist
5820 0.1499637 dist number
6420 0.214644201 number dist
5790 0.166357901 dist number
6080 0.2152366 dist dist
6090 0.1878652 number dist
5550 0.162320201 dist dist
5510 0.171302401 dist dist
5950 0.185668501 number number
6880 0.209097201 number dist
7110 0.2168592 dist number
5880 0.167870901 dist number
5970 0.2160369 dist dist
6460 0.207919801 number number
5490 0.203797 dist number
5670 0.1342219 dist dist
6080 0.1454954 number number
6010 0.1702566 dist dist
5950 0.173029699 dist number
5560 0.1987784 dist dist
6420 0.211333199 number dist
5650 0.1186858 number dist
5510 0.1217773 dist number
6690 0.1745932 dist dist
6040 0.2260063 dist dist
6270 0.1404426 dist number
5580 0.119046601 dist dist
6040 0.1779514 dist number
5950 0.1572115 number dist
6530 0.2097823 number dist
6310 0.149766901 dist dist
5920 0.1447068 number number
5920 0.117048301 number number
6840 0.197063299 number number
5930 0.181155501 number dist
6250 0.1744714 dist dist
5730 0.190115399 number dist
6510 0.167766501 number number
6000 0.127500101 number number
5800 0.2663894 dist dist
7690 0.2758839 number dist
6180 0.142242901 dist dist
6230 0.1398898 number number
5670 0.190059699 dist dist
5640 0.1952978 dist number
6410 0.1492458 number dist
5900 0.178564101 number number
6150 0.141913 dist number
6180 0.1998063 number number
5540 0.1468624 dist dist
5940 0.162151899 number number
6200 0.2002071 number dist
6280 0.1939971 number number
5840 0.170664999 dist dist
5830 0.1839291 dist dist
5520 0.153097801 dist number
6700 0.2719652 dist number
6080 0.228381101 dist number
6070 0.203673301 dist number
5680 0.1761367 dist dist
6230 0.248871301 dist number
5470 0.1573365 dist number
5970 0.217099201 dist number
7320 0.230081001 dist dist
6300 0.197334401 number dist
6030 0.2160441 dist number
5750 0.191739599 number number
5600 0.1593603 number dist
7050 0.150793601 number number
6140 0.163078299 dist dist
6410 0.1301108 number dist
5270 0.1554703 dist number
6360 0.248301401 dist dist
6070 0.165698701 dist dist
6290 0.1304691 dist number
6110 0.2114028 number dist
6040 0.129123299 number number
6280 0.2287429 dist dist
6130 0.154594299 dist dist
5600 0.136007099 number number
5560 0.156902801 number number
5970 0.190082201 dist number
6930 0.229703701 dist dist
5300 0.116102501 dist number
6690 0.214386601 number dist
5850 0.162184 dist dist
7090 0.2207149 number number
6460 0.180515199 number dist
7580 0.2821475 number dist
5460 0.114227699 number dist
6090 0.2044652 dist number
7200 0.2382809 number number
6350 0.2048384 dist dist
5560 0.1563402 dist dist
7490 0.249633 dist dist
5870 0.1814089 number number
5920 0.1552689 dist number
6090 0.149556099 number number
5940 0.189904301 number dist
6540 0.1455507 dist number
5740 0.2399897 dist dist
6560 0.204736001 dist dist
6190 0.1848753 dist number
5790 0.207071699 dist number
5910 0.1413781 number number
6970 0.193776999 number dist
6760 0.3164454 dist dist
6390 0.175138099 dist number
6840 0.1715962 number dist
6130 0.1862607 dist number
5390 0.1755801 dist dist
6260 0.152057401 number dist
5320 0.119978899 number number
5770 0.119683 dist dist
6530 0.169842999 number number
5950 0.1662119 number number
6080 0.1657188 dist dist
5990 0.259398201 dist dist
5260 0.1390658 dist number
6380 0.231046 number dist
5870 0.1992931 number number
6650 0.232673 dist number
6290 0.221675501 dist number
5790 0.141070199 number number
6520 0.195898599 dist number
6540 0.240762701 number dist
5720 0.186851999 number number
5460 0.1518329 dist number
6070 0.1960344 number dist
6300 0.239407099 number number
6250 0.154265899 number number
5910 0.1920319 number number
6320 0.207687499 dist dist
5710 0.221845799 dist dist
6220 0.125991999 number number
5240 0.1793505 dist dist
6230 0.1724018 number number
6330 0.1979522 number dist
6500 0.174869301 number number
5320 0.138682799 number dist
6650 0.200646 number dist
5940 0.156863501 number number
5940 0.1606322 number dist
5750 0.1082726 number number
6180 0.172377199 number number
6500 0.1711872 number dist
5580 0.1170554 dist number
6420 0.182935201 number number
5750 0.147082401 dist number
5420 0.147892499 dist number
6140 0.268384201 number dist
6050 0.225467001 dist dist
5970 0.1986848 dist dist
6510 0.2274747 dist dist
5590 0.137668099 dist dist
5750 0.2557784 dist dist
6080 0.177595001 dist dist
6330 0.203151699 dist dist
6100 0.180501701 dist number
6390 0.1865008 number number
6550 0.2070966 dist number
6930 0.2264295 number number
5770 0.123685 dist dist
5870 0.147502 number dist
5740 0.172490601 dist number
6080 0.170961899 number number
5920 0.263130401 dist dist
6780 0.197211599 number dist
5980 0.163902401 dist number
5850 0.2823915 dist dist
5100 0.143279401 dist number
5940 0.181213999 number number
6870 0.259965 number number
5890 0.1738797 number number
6080 0.1097426 number dist
5930 0.195022 dist dist
6190 0.2056884 dist number
5900 0.201528101 number dist
5690 0.1663352 number dist
5620 0.1245791 dist dist
6270 0.158269301 dist dist
5470 0.177852201 dist number
6140 0.1262728 number number
6470 0.202058701 dist number
5580 0.1453749 dist dist
5780 0.214671399 dist number
7200 0.1896458 dist dist
5950 0.165322299 number number
5890 0.2110679 number number
5840 0.240321101 number dist
6250 0.169665299 dist dist
5810 0.1852312 number dist
6370 0.202240901 number dist
5660 0.1817065 number number
7010 0.2363751 dist dist
6300 0.1633206 number number
6630 0.251382301 dist dist
6360 0.166997801 dist dist
5570 0.164889399 dist number
5690 0.183536601 number number
6210 0.1664314 number number
6320 0.197674301 number number
5450 0.161242899 number number
5190 0.0787549 dist number
6430 0.1393773 number number
6330 0.125682401 number number
5910 0.1320852 dist dist
6280 0.166915899 dist dist
5310 0.1569015 dist dist
5700 0.1887208 number dist
5750 0.1581866 dist dist
5600 0.107088199 dist dist
6900 0.1429585 number number
6030 0.2139321 dist number
5910 0.133596299 number dist
5410 0.140068101 dist number
5540 0.1479824 number dist
6050 0.1885112 dist dist
5810 0.196613901 dist number
6010 0.209507399 dist number
