makespan time indicator criteria
7080 1.014574601 number dist
7580 0.8453693 dist number
7470 1.046999 number number
7070 1.173765799 number dist
7230 1.119343 number number
7760 1.103674399 dist dist
7830 1.4843136 dist dist
6690 1.049921399 dist number
7040 0.7007174 number number
7910 1.1500469 number dist
7510 1.1508991 number dist
7880 1.2560141 dist dist
6700 0.8716297 dist number
7820 1.329536401 dist dist
7760 1.085030599 dist number
7720 0.8924938 number number
7450 0.8896907 number number
8320 1.1279698 number number
7590 1.0225508 number number
7370 0.8707823 dist number
7330 0.7418584 number number
7700 1.5168534 number number
6720 0.8494279 dist number
7790 0.9907991 number number
6600 1.322781699 dist dist
7390 0.929444601 number number
8840 1.2006681 number number
7940 0.8854348 dist number
8740 1.332757799 dist number
7260 1.4131762 number number
6870 1.1933795 dist dist
7250 1.261318199 number number
7800 0.8745676 dist dist
8170 1.105426999 number number
7490 1.342275801 dist number
7580 0.962821701 dist number
7130 1.0926821 number dist
7250 1.0430484 dist dist
7140 0.7754154 dist dist
8060 0.689366299 dist number
7570 1.218581 dist dist
8330 1.2977595 number number
7350 1.3130525 dist dist
6620 0.632338601 dist dist
6950 0.9631302 dist dist
7390 1.1329418 dist dist
6850 0.760343899 dist number
6900 0.837127001 dist dist
7280 1.0048513 number number
8230 1.025944599 dist number
7280 1.014423 number dist
6590 0.637731799 number dist
7810 0.9491164 number dist
8850 1.108485699 number dist
8690 1.415577 number dist
7580 1.248710799 dist number
7170 1.114714 dist number
6680 1.0306962 dist number
6450 0.7692332 number number
7820 1.007998299 number number
7720 1.1644748 number number
6570 1.3831604 dist number
6730 0.818427799 dist number
7620 1.2880341 number dist
6850 0.8585434 dist number
8560 1.137447 dist dist
6980 0.6922118 dist dist
6960 0.7616556 dist dist
9590 1.958466901 dist dist
6930 1.278377299 dist dist
7530 1.5108009 dist dist
7300 0.945307001 dist number
6900 0.876992501 dist number
6980 0.8542982 number dist
8180 1.2528639 dist dist
7220 0.6019929 number dist
6770 0.8957782 dist dist
6930 0.915264499 dist number
7040 1.0205486 number dist
8680 1.1831947 number number
6410 1.0430648 dist dist
7320 0.974235099 dist number
7190 1.2065263 dist dist
7390 0.7948535 dist dist
