makespan time indicator criteria
9650 1.3589505 dist dist
9770 1.667644499 number dist
12510 2.3211528 number dist
9250 1.3876637 number number
9750 1.198913899 dist number
11450 1.814316899 number dist
10250 1.306533301 number dist
11630 2.036215 number number
10630 1.7471036 number dist
13030 2.7343368 number dist
9270 1.2243607 dist number
10520 1.549593599 dist number
10520 1.3189382 number number
9880 1.7495666 dist dist
10020 1.277315099 dist dist
11780 1.6984438 number number
10580 2.4256242 number number
12820 2.549857401 number dist
10640 1.6486401 dist number
10740 1.9315527 number dist
9970 1.7800686 dist number
13020 3.901126001 number number
10430 1.481813301 dist dist
10110 1.4203255 dist dist
10370 1.1581386 number number
10400 1.528216901 dist dist
13380 3.1292411 number number
10600 2.6564947 dist dist
11330 2.5771897 number number
10320 2.4469319 dist dist
11230 1.8755133 number number
10760 1.6707314 number number
10340 1.2534237 number dist
11640 2.0346355 dist number
11180 2.2200164 dist number
9810 2.494543 dist number
10420 1.4244069 dist number
12640 3.5929045 number number
9920 2.2194874 number dist
12810 3.0562805 number number
10280 1.6169072 number number
10540 1.6557667 dist dist
10540 1.6205652 dist number
9900 1.0442444 number dist
9980 1.416333599 dist number
9190 1.2694677 dist number
10270 2.016218001 number number
10530 1.726415 dist dist
10770 2.003870901 number number
9670 1.7813105 dist number
10260 1.121054401 number number
10000 1.4997885 dist number
10650 2.0200716 number number
9780 1.100600101 dist dist
11275 2.165932401 dist number
9910 1.397 dist dist
9950 1.300244399 number number
9940 1.5468211 number dist
10860 2.265175699 dist number
9750 1.2969752 dist number
10450 1.463184001 number number
11060 2.486842899 number dist
12320 2.1474539 number dist
9940 1.3445462 dist dist
9870 1.528772801 dist dist
9280 1.5989832 dist dist
10010 1.4896384 dist number
10590 2.0437218 dist dist
13240 2.9486784 number number
11230 2.481126099 number dist
11990 1.955612701 number number
9220 0.884350299 dist number
12160 1.893117 number number
11410 2.096028901 number dist
10430 1.0662759 dist number
9570 1.3453188 dist number
13320 2.5121333 number number
9650 1.6707539 dist dist
10220 2.3960636 dist dist
11200 2.599186801 dist dist
11580 1.991261201 number dist
10940 2.7757566 dist dist
10640 2.1876149 number number
11460 2.0936608 number number
10620 1.9703532 number dist
11980 2.3393721 number dist
9600 1.5975764 dist dist
10060 1.0281636 dist dist
10090 1.6621161 number dist
10790 1.6983647 dist dist
14480 3.5286003 number dist
11640 1.812083 number number
11640 2.225642501 number dist
10040 1.769699 dist number
10510 2.0838222 dist dist
10500 2.0650676 dist dist
10490 1.4830955 dist number
9710 1.2127015 dist dist
10630 1.581982099 dist number
10910 1.4923509 number number
10230 1.1968537 dist number
11620 1.784721 number number
9530 1.3751969 dist dist
9740 1.4732661 number dist
10200 1.971028701 number number
11470 2.241954901 number dist
10470 1.618424299 dist number
10560 1.6829172 dist number
10390 1.871051199 dist number
10420 1.5434825 dist number
11250 1.9730243 dist number
12120 1.6767182 number dist
9880 1.7766531 dist number
10080 1.1981057 dist number
10060 1.482115501 dist number
10260 1.4048814 number dist
10120 1.673741601 number number
9580 1.535306599 dist number
10470 2.1447908 dist number
9570 0.977440101 dist dist
10660 1.4351163 number number
11560 2.4690982 number dist
10920 1.689264699 dist number
10930 1.716634699 number dist
13790 2.6961533 number number
9390 1.397508299 dist dist
10020 1.2918011 dist number
10800 2.0512134 number dist
9810 1.412163201 dist number
9640 1.3247189 dist number
11020 1.831426801 number dist
12030 1.7899525 number dist
10550 1.1303208 dist number
10940 1.9689363 number number
11240 2.4481556 number dist
10030 1.0963733 dist number
10970 1.6320366 number dist
9720 1.7749481 number number
12960 2.653861999 number number
11000 2.4128885 number number
