makespan time indicator criteria
2900 0.0032635 number number
2480 0.0016277 dist dist
2700 0.0030318 number dist
2360 0.0018917 number number
2520 0.003428101 dist dist
2620 0.003135601 number dist
2520 0.002670499 number dist
2560 0.0020088 dist number
2460 0.002220199 dist number
2800 0.0037046 number dist
2620 0.001992099 number dist
2720 0.0029111 dist dist
2840 0.003302299 number number
2580 0.003144101 dist dist
2640 0.001886601 number number
2360 0.001804899 number number
2840 0.003415599 number dist
2520 0.002132001 number dist
2840 0.002746501 number dist
2260 0.0009055 number number
2840 0.002948201 number dist
2260 0.0008862 number dist
2660 0.002141101 dist dist
2580 0.002400201 number dist
2460 0.0016516 number number
2740 0.0040348 dist dist
2560 0.0020631 number number
2720 0.0036732 dist dist
2120 0.0008393 dist dist
2460 0.001674899 dist number
2360 0.0019513 number dist
2360 0.001766799 number number
2280 0.000845601 number dist
2460 0.0020366 number number
2420 0.001656501 dist number
2480 0.001596399 dist dist
2540 0.0019331 number dist
2580 0.0024178 number number
2680 0.0023252 dist dist
2360 0.001046499 dist dist
2460 0.001446601 dist number
2460 0.001561301 number number
2460 0.0019258 number dist
2400 0.001175799 number dist
2360 0.001806 number number
2900 0.003142 number number
2360 0.001360599 number dist
2200 0.0011811 dist number
2360 0.002106699 dist dist
2520 0.001653 dist dist
2720 0.0032931 dist dist
2420 0.001734499 number number
2700 0.0032444 dist dist
2780 0.003498301 number dist
2240 0.000853099 number dist
2180 0.000961299 number number
2700 0.002748699 dist dist
2560 0.002050599 number dist
2300 0.0010141 number dist
2640 0.002238601 dist dist
2380 0.0010396 dist dist
2760 0.001827101 number dist
2840 0.002668401 number dist
2540 0.001708801 dist number
2340 0.000987 dist number
2780 0.0026568 number number
2320 0.001033701 dist number
2780 0.0031391 number dist
2380 0.0009637 dist dist
2260 0.0008446 number number
2520 0.0018416 number dist
2320 0.000996099 number number
2300 0.0007694 number number
2480 0.001442399 dist number
2720 0.002825999 number number
2840 0.0028609 number dist
2480 0.0015777 number number
2220 0.000747399 dist dist
2480 0.0015329 dist dist
2300 0.0015197 dist dist
2780 0.00315 dist number
2700 0.0026568 number dist
2460 0.0015236 number number
2300 0.001015899 number number
2200 0.0013406 dist dist
2840 0.003280601 dist dist
2780 0.003193599 number number
2260 0.000853299 number dist
2660 0.002273601 number number
2540 0.001842601 dist number
2360 0.001157099 dist number
2740 0.012611399 dist number
2520 0.002037501 dist number
2560 0.002033401 dist number
2840 0.002514001 number dist
2320 0.000833899 dist dist
2220 0.0007867 number number
2660 0.0026799 number number
2840 0.003921599 number dist
2900 0.003060099 number number
2480 0.001147199 dist number
2780 0.0055229 dist dist
2660 0.00621 dist dist
2380 0.002524401 number number
2560 0.0025793 dist dist
2780 0.005114701 number dist
2780 0.002832601 number number
2840 0.003259399 number dist
2360 0.001598299 number dist
2720 0.002558001 dist number
2360 0.001944899 number dist
2460 0.001895299 dist number
2780 0.0027075 number number
2380 0.0013079 dist number
2200 0.000808599 number dist
2420 0.001385401 dist dist
2480 0.001603601 number dist
2480 0.0014181 dist number
2340 0.001081201 dist number
2260 0.000809099 number number
2460 0.0015922 number dist
2320 0.000801801 number dist
2400 0.0013174 dist dist
2600 0.0024677 dist dist
2220 0.000852601 number dist
2580 0.0021724 number dist
2400 0.0011505 number number
2300 0.001267799 dist number
2540 0.001576101 dist number
2480 0.001368401 dist dist
2280 0.0013464 dist number
2840 0.0024211 number number
2720 0.002669201 number number
2560 0.001910001 number number
2300 0.001307899 dist dist
2560 0.002145501 dist number
2180 0.0008388 number dist
2380 0.001254299 dist number
2340 0.001075399 number number
2560 0.0019513 dist dist
2340 0.0007908 dist number
2480 0.0012371 number number
2480 0.0013609 dist number
2780 0.003600701 dist dist
2360 0.0017704 dist dist
2660 0.0022916 number dist
2480 0.0014744 dist dist
2480 0.001299801 dist number
2600 0.0024905 dist dist
2460 0.001268099 number number
2460 0.001738499 number number
2360 0.001158 dist dist
2360 0.0017271 number dist
2480 0.0022463 dist dist
2560 0.0017601 number number
2420 0.001633201 dist number
2580 0.001988499 number number
2780 0.0031929 number dist
2780 0.003693901 dist number
2360 0.0018197 number dist
2460 0.0015054 dist dist
2400 0.001596501 number dist
2660 0.002274001 number number
2240 0.001125799 dist dist
2540 0.001779099 number dist
2780 0.0033978 dist dist
2220 0.0009438 dist number
2420 0.001627499 dist number
2520 0.002153799 number number
2320 0.000757299 number dist
2420 0.0015944 dist number
2580 0.002168301 number number
2700 0.0026888 dist number
2240 0.0014934 dist number
2400 0.0109057 dist number
2780 0.0030775 number number
2460 0.0014549 dist dist
2480 0.001897301 dist dist
2580 0.002311801 dist dist
2540 0.001920901 dist number
2460 0.001733201 dist dist
2460 0.001708599 number number
2340 0.001258299 dist dist
2420 0.001830101 dist dist
2480 0.0011483 dist number
2700 0.0026179 number dist
2800 0.003304699 number number
2360 0.001879799 number number
2360 0.0012842 dist dist
2460 0.001609301 number number
2780 0.003376399 number dist
2360 0.001007299 dist number
2660 0.002697099 dist number
2360 0.0017034 number number
2320 0.0010307 number number
2200 0.000773901 dist number
2760 0.002210001 dist number
2240 0.0015294 dist dist
2540 0.001321801 number number
2380 0.0009969 number number
2360 0.0015799 dist dist
2780 0.0028116 number number
2260 0.0007683 dist number
2920 0.0023045 number number
2480 0.0015594 number dist
2400 0.001544401 dist number
2260 0.000855101 number number
2780 0.002868399 number number
2540 0.001671199 dist number
2780 0.003160001 number number
2660 0.003073001 number dist
2660 0.002935101 dist dist
2840 0.0026426 number number
2620 0.002683199 dist dist
2400 0.001439101 dist dist
2200 0.0008451 number dist
2380 0.001962899 dist dist
2400 0.001071499 number number
2720 0.0023694 number number
2520 0.0018823 number number
2560 0.001435701 dist dist
2580 0.0021483 number number
2520 0.001702501 dist dist
2600 0.0025788 dist dist
2480 0.001421201 dist number
2300 0.000820299 number dist
2460 0.001601999 number number
2400 0.0019097 dist dist
2580 0.001156 dist number
2400 0.0012105 number dist
2520 0.002053501 dist dist
2440 0.0015469 dist number
2780 0.003111299 number number
2640 0.0028287 number number
2640 0.0023633 dist number
2580 0.0128801 number number
2320 0.000873199 number number
2560 0.0022592 dist dist
2840 0.003683199 number number
2280 0.000969801 dist number
2640 0.0014956 dist dist
2540 0.0023123 number number
2780 0.003482899 dist number
2700 0.002440199 number number
2200 0.000827 dist number
2600 0.001934 dist dist
2360 0.0011459 dist dist
2440 0.0011364 dist dist
2720 0.0025478 number number
2640 0.0018437 dist dist
2360 0.0017736 number number
2500 0.0024943 dist dist
2480 0.001776299 dist dist
2320 0.0010066 number number
2520 0.002086001 dist number
2260 0.0008625 dist number
2300 0.0008942 dist dist
2560 0.0014758 dist dist
2840 0.0045081 number number
2840 0.0039879 dist dist
2360 0.001525301 dist number
2240 0.0011094 dist dist
2420 0.0018589 number number
2480 0.0020944 dist number
2360 0.0014835 dist number
2520 0.001831 dist number
2260 0.000878901 number dist
2520 0.001725 number number
2480 0.002339599 dist dist
2900 0.0031315 number dist
2360 0.001278299 number dist
2480 0.001503701 number dist
2320 0.001068299 dist dist
2560 0.0018432 number dist
2520 0.002106201 dist number
2680 0.003070199 dist dist
2380 0.0012794 dist dist
2720 0.003414999 dist dist
2380 0.001229199 dist number
2460 0.001551099 number number
2500 0.0024166 dist dist
2320 0.000981301 number dist
2780 0.003383199 dist dist
2520 0.001869201 number number
2360 0.001817999 number number
2900 0.0031693 number dist
2380 0.0016301 dist dist
2600 0.001822401 number dist
2360 0.001658999 dist number
2860 0.002735601 dist number
2380 0.001164299 dist number
2580 0.002159999 dist dist
2480 0.001865701 dist dist
2320 0.000819701 number dist
2780 0.002761899 number number
2260 0.0011791 number dist
2420 0.001612301 number number
2240 0.0013116 number number
2600 0.0020925 dist dist
2480 0.001557301 number dist
2480 0.001480401 dist number
2560 0.001736699 number dist
2560 0.002153899 dist dist
2480 0.001389199 dist number
2360 0.0017591 number dist
2460 0.0017309 number number
2600 0.002031601 dist dist
2900 0.002890899 number dist
2560 0.0019262 number dist
2300 0.000747399 number number
2360 0.001739901 dist dist
2360 0.001689901 number number
2300 0.000843099 number number
2460 0.0015123 dist number
2400 0.001049199 dist number
2780 0.003418101 number dist
2240 0.0009567 number dist
2260 0.000783799 number number
2300 0.0007946 number dist
2360 0.001065 dist dist
2360 0.001084999 number number
2780 0.0031301 dist number
2680 0.0015324 dist number
2360 0.001746299 number number
2240 0.0007682 dist number
2320 0.000832201 number number
2640 0.0029233 number dist
2480 0.0014879 dist number
2200 0.000805401 number dist
2300 0.0009208 dist dist
2540 0.001854801 number dist
