makespan time indicator criteria
8200 0.019524401 number number
9800 0.022466499 dist dist
8700 0.0197941 number dist
9560 0.023550101 dist number
9020 0.023027299 number dist
9280 0.068291301 dist dist
9240 0.030372599 number dist
9200 0.0276341 dist number
10020 0.029672399 dist dist
9300 0.019593 number dist
8820 0.0293623 dist number
9780 0.048241501 dist dist
9180 0.0415718 number dist
8520 0.019172899 dist dist
8700 0.027922699 dist number
8720 0.0506988 number dist
10020 0.085776001 dist number
9100 0.033144999 number number
8740 0.0236779 number number
9280 0.079569001 dist number
8400 0.0204006 dist dist
10080 0.0968396 dist number
8180 0.0244852 number dist
9280 0.0549155 dist dist
9220 0.0438937 number number
8660 0.061302301 number dist
9540 0.0238238 dist dist
9700 0.0325065 dist dist
9980 0.080873 dist number
8420 0.0133078 number dist
9120 0.031871001 dist dist
9620 0.0210482 dist number
10320 0.089861701 dist number
9200 0.035314 dist dist
10300 0.064544199 dist number
9300 0.0739611 dist dist
9060 0.0350235 number dist
9400 0.020636301 dist number
9540 0.084956199 dist dist
8940 0.033581099 number dist
9120 0.0233883 number number
9280 0.02245 dist number
9620 0.076022899 dist dist
8460 0.0481749 number number
9520 0.030283799 dist dist
8780 0.022856001 dist number
8960 0.049044701 number number
10000 0.0720691 dist dist
9220 0.015840101 dist number
9860 0.0593363 dist number
8960 0.020341101 number dist
9320 0.021377501 dist dist
9060 0.035811501 number number
8620 0.019988501 dist dist
9780 0.069804099 number number
8880 0.0230414 number dist
9900 0.0961535 dist dist
9260 0.026009599 dist number
8680 0.023800801 dist dist
8660 0.025913401 dist dist
9200 0.060781001 dist number
8980 0.030539999 number number
9180 0.0426937 dist number
9400 0.024258801 number number
8960 0.0227786 number number
9320 0.0214292 number dist
9860 0.0312008 dist number
8020 0.021081401 dist dist
9460 0.054332 dist dist
8520 0.0210463 number number
9780 0.040248501 dist dist
9260 0.031568601 number number
10000 0.0444318 number dist
9940 0.0656844 dist dist
9520 0.0161189 dist dist
9980 0.040187799 number number
8800 0.018826899 dist number
9300 0.022478 dist number
9680 0.0696091 dist dist
9200 0.022657701 number number
9260 0.0348944 number number
9340 0.046786501 number dist
8780 0.0199646 number number
8340 0.02622 number dist
9920 0.0541632 number number
9440 0.0344775 number number
9740 0.0485767 dist dist
8360 0.0482796 number dist
9540 0.026110701 number number
8460 0.024526 number dist
8680 0.0334929 number dist
9240 0.0226807 dist dist
10020 0.0664794 dist number
8800 0.0389902 number dist
8860 0.053746899 number dist
9400 0.040749701 dist number
8940 0.0205528 number number
10440 0.043737501 dist number
8860 0.0234728 number number
9520 0.055733399 dist dist
9200 0.1131585 number dist
9160 0.0383742 dist dist
8940 0.0277811 number number
9020 0.0339983 dist number
9120 0.0340627 dist number
8860 0.038220699 number number
9600 0.037275299 number dist
8760 0.0203377 number number
9580 0.0201224 dist dist
8620 0.0262827 number dist
9600 0.052043299 dist dist
9060 0.0523889 number number
9440 0.0315187 number number
8960 0.025253299 number number
8860 0.023263599 number dist
9600 0.025678501 dist dist
9460 0.026186799 number number
8320 0.0303514 number dist
9640 0.048068501 dist dist
9060 0.024863699 dist dist
8740 0.037780699 dist dist
9280 0.059356699 dist dist
8240 0.023801799 number dist
9100 0.036787601 number number
8420 0.0195239 dist number
9060 0.0496379 number number
8820 0.0247309 number number
9160 0.0311161 number dist
8980 0.021233599 dist dist
9160 0.031950899 number number
9220 0.037263399 dist dist
9420 0.020815399 dist number
9520 0.0575836 dist number
9320 0.021099499 number dist
10220 0.021844799 dist dist
10000 0.047671 dist number
9040 0.0333628 number dist
9120 0.026486301 number dist
9860 0.061800301 dist number
9560 0.0534093 dist dist
8600 0.0265179 number dist
9200 0.0560293 number dist
8820 0.015617901 number number
8340 0.0232954 dist number
9040 0.0200117 dist dist
9560 0.0208407 dist number
8940 0.0336334 dist number
9120 0.041275901 dist dist
8900 0.050949299 number dist
9940 0.0293796 number dist
8320 0.0215878 dist dist
8400 0.0209124 dist number
8780 0.0306807 number dist
9620 0.029053 dist dist
10260 0.0369667 number dist
9920 0.073405301 dist dist
9480 0.0664726 dist dist
8460 0.0236068 number dist
9660 0.053368599 number dist
8740 0.022636299 number dist
8700 0.023120701 dist number
9180 0.0466526 dist number
8880 0.0253047 number dist
9700 0.0496582 dist number
9300 0.0402579 dist number
8840 0.011835 dist dist
8700 0.037294801 dist number
8820 0.029600299 number number
9480 0.0483969 number number
8860 0.0240811 number number
9180 0.0424644 dist number
8400 0.0206939 number dist
9980 0.053942901 dist dist
9020 0.031919 number dist
9760 0.089177401 dist dist
9060 0.021101299 number dist
9160 0.032039001 number number
8920 0.032239799 number number
9120 0.0290658 number number
8120 0.020800601 number number
8920 0.095634601 dist number
8680 0.020413101 dist number
9200 0.0300512 number dist
9300 0.0130631 number number
9820 0.0324613 number dist
9340 0.0357166 dist number
8640 0.0208407 dist number
9560 0.026412301 number dist
9300 0.025012 dist number
8700 0.0234749 number number
9440 0.0263524 dist dist
9620 0.026388899 dist number
8280 0.0223296 number dist
9800 0.084151101 dist dist
9760 0.026897201 dist number
9120 0.051596699 number dist
9400 0.018974199 number number
8840 0.056503099 number number
8820 0.0295861 number number
8440 0.023405399 number dist
9460 0.0266594 number number
9620 0.0248361 number dist
9540 0.1034543 dist dist
9020 0.0403425 number number
8580 0.0200969 dist number
8600 0.0327232 number dist
8220 0.027103401 number dist
9340 0.052203899 dist dist
9720 0.046556201 dist dist
8360 0.019248999 number dist
9240 0.019813101 number dist
9840 0.0150859 dist number
9740 0.1106846 dist dist
8500 0.019729099 dist number
8140 0.020858301 dist dist
8660 0.021166801 dist dist
9640 0.043694101 dist dist
9940 0.051455 dist dist
9860 0.051254999 dist number
9640 0.062031099 number dist
9960 0.047805399 dist dist
9140 0.025960301 number number
9600 0.0587736 number dist
9460 0.051138801 dist dist
10020 0.086824201 dist number
8600 0.021863 number number
9280 0.0232942 dist number
9260 0.032447499 dist dist
9300 0.037235199 dist dist
9060 0.0343426 number dist
9500 0.0251273 number dist
9000 0.0205373 number number
9020 0.035487201 dist dist
8400 0.020480499 number dist
9460 0.048871599 dist dist
8460 0.0339068 number number
9260 0.022591299 dist dist
9080 0.0227694 number number
9020 0.056456001 number number
9300 0.0204238 dist number
8480 0.0298235 number number
9200 0.0303705 number number
9360 0.0210305 number number
8600 0.0364675 number dist
9080 0.0484377 number number
9860 0.033078901 number dist
10140 0.086727499 dist number
8720 0.0290227 number dist
10720 0.030055 number number
9640 0.066659 dist dist
8760 0.0232456 number number
9380 0.040765001 number number
8680 0.025426401 dist number
8880 0.0285737 number dist
8940 0.035220701 number number
9260 0.0567637 dist dist
9240 0.0195827 number number
9940 0.0296558 number dist
9500 0.0208858 number dist
9000 0.0290748 dist number
8640 0.0338209 number dist
8980 0.0439807 number dist
8220 0.019986799 number dist
8860 0.023623399 number dist
8920 0.0245632 number dist
8700 0.021435499 number number
8000 0.0189187 number dist
8740 0.020315901 dist dist
8780 0.0212117 number number
8880 0.0377722 number dist
8800 0.0307727 number dist
9180 0.035543401 dist dist
8400 0.0188096 number number
9140 0.044695799 dist dist
9480 0.034310301 dist number
9340 0.040202299 number dist
8800 0.0385308 dist dist
8440 0.022599801 number number
8520 0.037761301 dist dist
9480 0.030436799 dist number
9580 0.0267634 dist dist
8920 0.0223581 number dist
8580 0.0500403 number dist
8980 0.021707501 dist number
8180 0.032263 dist number
9140 0.0330027 dist number
8680 0.021454101 number number
8800 0.023088 dist number
10220 0.037480801 dist number
9020 0.0494034 dist dist
9080 0.0246291 number dist
8940 0.0491207 dist number
9420 0.058076701 number dist
10180 0.104347 dist dist
8200 0.029383701 number dist
9200 0.031310699 number dist
9080 0.0583201 number dist
9680 0.0256552 dist dist
8900 0.0326762 dist number
9080 0.0201196 dist dist
9380 0.0444763 dist dist
8900 0.022963299 number number
10160 0.0262888 number number
9780 0.033664 dist number
8200 0.0477516 number dist
8620 0.028734 dist number
9000 0.026946699 number dist
8920 0.040483699 number number
9500 0.0422411 number number
9360 0.007348501 number number
8900 0.0123936 number number
7920 0.0274038 number dist
10020 0.043919799 dist dist
9400 0.0197631 dist number
8600 0.019363401 number dist
9360 0.0317816 number dist
8820 0.031037 number number
9140 0.039664401 dist number
9020 0.063010499 dist number
9040 0.0316258 dist dist
9040 0.0448097 number dist
9340 0.0285115 dist number
9840 0.066828599 dist number
9160 0.031240399 dist number
8860 0.036379801 number dist
9080 0.0339352 number dist
8720 0.0377521 number dist
9900 0.0602779 number number
8740 0.0274244 dist dist
9620 0.024030499 number dist
9520 0.0400771 dist dist
8900 0.0648978 dist number
8160 0.0191883 dist number
9300 0.041934401 dist dist
9520 0.029502899 number number
9800 0.057250801 number number
9080 0.020839001 number number
8340 0.038728401 number dist
9520 0.037424899 number number
10020 0.046574401 dist number
9120 0.021895101 number number
10000 0.034801901 dist dist
10200 0.033647201 dist dist
8560 0.021624899 dist number
9260 0.038258101 dist dist
9240 0.056146501 number number
9100 0.025698801 dist dist
9180 0.0318082 dist dist
8980 0.0265869 number number
9260 0.022110501 number number
9600 0.0271387 dist dist
9040 0.020549901 dist number
9280 0.0770137 number number
8380 0.026942099 number dist
9840 0.133685499 dist number
8620 0.028361199 dist dist
9500 0.038822699 dist number
9800 0.096154999 dist number
8900 0.026025401 number number
9200 0.032435 dist number
8700 0.0202605 dist dist
9000 0.0242844 dist dist
9020 0.028830001 number dist
9380 0.0220301 dist number
10460 0.064140601 dist dist
9340 0.050595501 number dist
8480 0.023231201 dist number
9360 0.037391201 number number
10220 0.0418793 dist dist
9200 0.024479999 number dist
9560 0.090251601 dist number
9520 0.043467001 dist dist
8820 0.041622699 number number
9080 0.0253101 dist dist
8220 0.020419399 dist dist
9560 0.079071399 dist dist
8940 0.0212323 dist number
8760 0.0203408 number number
9900 0.033626499 dist number
8900 0.0197415 dist dist
8600 0.0201862 number number
9900 0.0702123 dist number
8480 0.0236791 number dist
8300 0.0328136 number number
8980 0.02865 dist dist
9140 0.019938899 dist dist
8560 0.026673999 number number
9320 0.039748701 number number
8580 0.0408456 number number
8960 0.070945501 number number
8600 0.021631201 dist dist
8600 0.037005101 number dist
9600 0.049073101 number number
8800 0.031895101 number dist
9000 0.010340001 dist dist
9420 0.029378799 number number
8640 0.0208109 number number
8060 0.01978 number number
10820 0.027551701 dist dist
9600 0.0553061 dist number
9320 0.0264279 number number
9500 0.019817901 number dist
8260 0.0202154 dist dist
8660 0.030159201 number dist
9400 0.064562801 number number
9600 0.065323499 dist number
9420 0.0698752 dist number
9360 0.019965899 dist dist
8760 0.0556653 number dist
8780 0.022165501 number dist
8800 0.020963799 number dist
9520 0.0309218 dist dist
9720 0.065374699 dist dist
9800 0.0331301 number dist
9340 0.0785308 dist number
8940 0.026361 number number
8820 0.0281034 number dist
9280 0.034889501 number dist
8860 0.027454 dist number
9680 0.057654401 dist number
11100 0.021428101 dist dist
9660 0.023907 number number
9500 0.0765987 dist dist
8920 0.032708601 number dist
9000 0.021263199 dist number
9120 0.0679609 dist number
9080 0.0286598 number dist
9480 0.026277501 dist number
9900 0.0768628 dist number
9520 0.0403638 dist dist
9060 0.0579538 dist dist
9480 0.035426599 dist dist
9420 0.0253071 number number
8620 0.025236299 number dist
8520 0.034494099 number number
9100 0.0242198 dist number
9420 0.0465583 dist dist
9520 0.0229686 number number
9540 0.025750901 dist number
9180 0.0326935 dist dist
8300 0.0210903 number dist
9540 0.0261994 number dist
