makespan time indicator criteria
6130 0.1917897 number dist
7290 0.201634399 number number
6990 0.183594801 dist dist
6090 0.164377699 number number
6120 0.197744099 dist number
6590 0.133937999 number number
6410 0.207369101 dist dist
6510 0.334306001 dist dist
6240 0.2052243 dist number
6100 0.1756543 number number
6510 0.2190554 dist number
6680 0.287494499 dist dist
6830 0.202526599 number number
6280 0.2108145 dist number
7210 0.2420194 dist dist
5830 0.2053667 dist dist
7070 0.1956092 number dist
6730 0.1879761 number number
6770 0.180555 number dist
7080 0.307285201 dist number
7730 0.2544336 number dist
6240 0.141031199 number number
6550 0.201518999 dist number
6320 0.205632699 dist number
7100 0.288247499 dist number
6080 0.269686901 dist number
6430 0.213059801 dist dist
6480 0.180654799 number dist
6210 0.2195962 dist number
6690 0.262430799 number number
5640 0.1349774 dist number
7340 0.2435933 number number
6430 0.244567799 dist dist
6300 0.1996386 number dist
7410 0.230771901 number number
6340 0.138234699 dist number
6250 0.1094314 number dist
6950 0.185881501 number number
5920 0.142572599 number number
7400 0.1929702 number number
6260 0.184125801 number number
6330 0.194916199 dist number
6940 0.186547399 number dist
6580 0.1927131 number dist
6270 0.189006699 dist dist
5890 0.193475601 dist number
6390 0.205710799 dist number
7790 0.27545 number dist
6180 0.183687099 number number
6720 0.1996529 dist number
5820 0.171160001 dist number
6990 0.2291663 number dist
6540 0.1628468 number dist
5550 0.1349924 dist number
6120 0.176418001 number number
7210 0.248144099 dist number
5900 0.1648069 dist number
6220 0.154934699 dist dist
7100 0.237253701 dist number
7090 0.2223679 dist number
8660 0.2925354 number number
6650 0.189797199 number dist
6600 0.1568854 dist dist
6370 0.1890949 number dist
6280 0.2623025 dist number
6880 0.187339 dist number
6330 0.164454801 number dist
6650 0.1848024 number number
6770 0.1657139 number number
6150 0.180678 number dist
7680 0.2373951 number number
6180 0.1677001 dist dist
7690 0.253229501 number number
6750 0.247842001 number dist
6590 0.192074201 dist number
6530 0.2151241 number number
7470 0.2346188 number dist
5950 0.2307938 dist dist
6050 0.177053001 dist number
7510 0.1951545 number number
9260 0.285883801 number number
6980 0.2764538 dist dist
7300 0.2692018 number dist
6690 0.2118263 number number
7440 0.2523268 number dist
6260 0.211804701 dist number
7460 0.210647099 number number
5930 0.124316599 number number
6060 0.1533728 number number
7110 0.207422101 dist number
6510 0.2131027 number dist
7320 0.2242333 number number
6650 0.221452201 dist dist
6840 0.2747843 dist dist
6510 0.215242999 number number
7240 0.222692801 number dist
6550 0.121079199 number dist
6030 0.1677909 number dist
6310 0.157007901 dist dist
6540 0.3204979 dist dist
6550 0.2321418 dist dist
7370 0.234274199 dist number
7390 0.238496001 number number
7000 0.2526845 dist number
6390 0.1848877 number number
6530 0.148831401 number dist
6890 0.228197501 dist number
6860 0.218996999 number number
6370 0.1457225 dist number
5920 0.207263 dist dist
6240 0.199677299 dist dist
7640 0.262494001 number dist
6920 0.222822299 dist dist
7570 0.2234033 number number
5800 0.170846401 dist number
5860 0.164046499 number dist
6700 0.214778499 dist dist
7580 0.228958599 dist number
5960 0.2660903 dist number
7530 0.2120069 number number
6320 0.144592299 number number
7790 0.272011799 number dist
6700 0.2517583 dist number
6210 0.180529899 number dist
7110 0.2676136 number dist
6720 0.225732899 number number
5770 0.1285903 number dist
6920 0.3167981 dist dist
8720 0.289759199 number number
7040 0.210896901 dist number
5490 0.1607499 dist number
6580 0.200002301 number number
6530 0.204255701 number number
8200 0.2544993 number number
6390 0.223185101 number dist
6440 0.1545587 dist number
5880 0.1731926 dist number
8070 0.245328 number dist
5970 0.166335701 number dist
8070 0.2465242 number number
6780 0.206719999 dist number
6230 0.220116101 dist dist
6730 0.1629611 number number
6920 0.243260999 dist number
6510 0.228638001 dist dist
6790 0.253092299 number number
6400 0.2176154 number dist
7290 0.235327899 number dist
6660 0.2178688 dist dist
6040 0.169246699 number dist
7120 0.208810499 dist dist
7200 0.2394049 number dist
5990 0.172110701 number dist
6880 0.2658406 dist number
6310 0.276757099 dist dist
6410 0.1607243 number dist
6770 0.261919299 dist dist
7070 0.199083 dist number
5710 0.11735 dist dist
6110 0.233759901 dist number
6430 0.194398 dist dist
6530 0.15632 number dist
6410 0.2077917 dist dist
7090 0.226960801 number dist
6200 0.266455201 dist number
7340 0.177859499 number dist
7050 0.207743 number dist
6800 0.1887951 number dist
6170 0.180269499 dist number
8070 0.285388299 dist number
7140 0.183397499 dist dist
5980 0.1378792 number number
6800 0.162085901 number number
6870 0.222995999 dist dist
6810 0.214343899 number number
6680 0.259803399 dist dist
7420 0.255230301 number number
6530 0.213545301 number dist
7520 0.177723999 number number
6370 0.1733434 dist number
6090 0.14401 dist number
7160 0.1930849 number dist
6940 0.2453197 dist number
7370 0.2661126 dist dist
6910 0.1923414 dist number
6150 0.2128305 dist dist
7550 0.2232482 number number
7390 0.1976951 number dist
6510 0.2194828 number number
6790 0.210712701 number dist
6050 0.1669351 dist number
6300 0.253434099 dist dist
6260 0.159085399 number dist
6890 0.2086137 dist dist
6550 0.284494499 dist dist
5930 0.144110499 number dist
7250 0.265952301 dist number
6160 0.280871699 dist number
6490 0.2275763 number dist
8590 0.249237499 number number
6550 0.140568399 number dist
6420 0.219915901 dist number
5970 0.170349101 dist dist
6410 0.1630301 number dist
7300 0.205330101 dist dist
6740 0.255917601 dist dist
6840 0.259508301 dist dist
7450 0.237811401 number dist
6520 0.2161669 dist number
6000 0.155305499 number dist
6240 0.2216856 dist number
6310 0.2453538 dist dist
6610 0.1730283 dist number
6330 0.2287408 number dist
6700 0.2082521 number number
7290 0.2891082 dist dist
6820 0.208349301 dist dist
6460 0.172399599 dist dist
7810 0.235579001 number number
8470 0.290638299 number number
6040 0.165063699 dist dist
6690 0.2348708 number dist
7770 0.2366058 number dist
6020 0.2237445 dist dist
6770 0.2522074 dist dist
7170 0.221057599 number number
7260 0.233712201 number number
6990 0.232333099 number number
7140 0.214479799 number dist
6340 0.2182145 number dist
6110 0.193109999 dist dist
7160 0.242849 dist dist
6180 0.195032101 dist number
6650 0.232975299 dist number
7180 0.2028067 number number
6620 0.203380601 number dist
6410 0.225475299 dist dist
6440 0.210483499 dist number
6990 0.2289751 dist number
7000 0.2076299 number number
5660 0.1811754 dist dist
6030 0.1670062 number number
8060 0.2299511 number dist
6900 0.2104483 number dist
7570 0.294140599 dist number
7270 0.2795809 dist number
5840 0.203114901 dist dist
7040 0.281941001 dist number
6360 0.2453858 dist dist
6950 0.235288301 number dist
7340 0.2559773 number dist
5990 0.158399399 number dist
6750 0.195013699 dist dist
6080 0.2174103 dist dist
6380 0.1804841 number dist
6850 0.176383999 number dist
6980 0.1900392 number number
6440 0.194053201 dist number
7450 0.2664319 dist dist
6340 0.180503499 number dist
6360 0.113926701 dist number
5720 0.197845101 dist number
7860 0.2535436 number number
6980 0.211160901 number dist
6450 0.271132299 dist dist
7290 0.3031438 dist number
6300 0.1709572 dist number
6290 0.151916601 number number
7140 0.239261799 dist number
5720 0.2077232 dist number
6340 0.2275167 dist number
7040 0.29449 dist dist
6690 0.150509 number dist
5770 0.164431201 number number
6460 0.1880953 number number
6630 0.236414399 dist dist
6410 0.177233401 number dist
6670 0.268831901 dist number
6440 0.2178513 number number
7160 0.199321999 number dist
6730 0.2546327 number dist
6730 0.215871899 number dist
6650 0.169255699 number number
6460 0.2165728 number dist
7490 0.242787499 number dist
8010 0.286051099 dist dist
6840 0.217994401 dist number
6650 0.2326779 dist number
6770 0.167885999 number number
6630 0.1548505 number number
6450 0.1857008 dist number
5940 0.2046526 dist dist
6440 0.169979 dist number
6900 0.2167199 number dist
7210 0.244189099 dist dist
6800 0.211936301 dist number
5650 0.1913204 dist dist
7010 0.2350871 dist number
6980 0.2248453 dist dist
6080 0.145312299 number number
6210 0.186053701 dist number
5910 0.161307801 dist number
6170 0.2057131 dist dist
6120 0.145180101 number number
7690 0.2238467 number dist
6720 0.177145299 dist number
7250 0.169728099 number number
5880 0.125039401 number number
6890 0.135233101 number dist
6240 0.244590099 dist number
5840 0.1844108 dist number
6410 0.2230276 dist dist
6480 0.174537099 number dist
6450 0.148142101 number number
7820 0.2929829 dist dist
7000 0.2838139 dist dist
6830 0.2063807 number number
6520 0.1673568 number number
6120 0.231695299 dist dist
7100 0.1793443 number number
8080 0.261981401 number number
6620 0.3092731 dist dist
6730 0.2497131 dist number
6010 0.161835999 number number
6320 0.202505001 dist number
5890 0.1131678 number number
6600 0.2146894 dist dist
6910 0.194164501 number number
6520 0.272137 dist number
7380 0.267704501 dist number
6740 0.2005984 dist dist
6690 0.2591291 dist number
6690 0.199048399 number number
6330 0.1947706 number dist
6850 0.1912185 dist number
7900 0.294904199 number dist
6530 0.2042363 dist number
6220 0.2341055 dist number
5860 0.129704 dist number
7120 0.1763571 dist dist
6650 0.1737821 number dist
6150 0.1818476 number number
6530 0.2091573 dist number
6160 0.2200914 dist number
7940 0.252591201 number dist
6740 0.195979601 number number
7630 0.2523346 number number
8080 0.2559551 number number
7450 0.248478701 number dist
6330 0.208872001 dist dist
7730 0.2895988 dist number
6600 0.1897451 dist dist
6650 0.2095849 number dist
6440 0.171897599 dist dist
6790 0.2285452 number number
6440 0.154096599 dist dist
6390 0.1659259 dist dist
6810 0.2414398 number dist
6020 0.1624316 number dist
7250 0.236701299 number number
6640 0.193345 number number
6320 0.156866 dist dist
7590 0.2751527 dist number
6730 0.1883805 number dist
5860 0.1963459 dist number
6960 0.201085999 number dist
5690 0.1358083 dist number
8580 0.3033385 number number
6010 0.1558648 dist dist
6390 0.178804701 number number
6020 0.174032399 number dist
6440 0.1942767 dist dist
5810 0.1101639 dist number
6060 0.1378899 dist number
7330 0.2341741 number dist
6740 0.144449101 dist number
6440 0.198028199 dist number
6490 0.2308622 number number
6260 0.1500191 dist dist
6290 0.167058201 dist number
7230 0.2183846 number dist
6040 0.1812771 dist dist
6540 0.2451181 dist dist
6190 0.163272399 number number
7350 0.1945668 number number
6880 0.212419499 number number
7190 0.3031454 dist dist
6300 0.2051561 number number
9060 0.2933121 number dist
9030 0.3004542 number number
7590 0.284021501 number dist
6590 0.193978799 dist dist
7560 0.2679794 number number
6110 0.207125 number dist
6250 0.166080599 number number
6430 0.259087101 dist dist
6890 0.2619467 dist number
6900 0.2897182 dist dist
8440 0.290180101 number dist
6840 0.1522799 dist number
8050 0.2833976 number number
5650 0.186731 dist dist
7170 0.2042033 number dist
6120 0.149471801 dist dist
6370 0.210586 dist dist
6710 0.2271618 dist number
6210 0.162683201 dist number
6730 0.228962099 dist number
6820 0.1690028 number dist
6570 0.1885474 number dist
6920 0.229982801 dist dist
6810 0.156129 number dist
6660 0.2865968 dist dist
7100 0.2267837 dist dist
7150 0.182631301 dist dist
7360 0.226414501 number dist
5970 0.1613799 dist dist
6230 0.243287601 dist number
5620 0.196974099 dist number
7030 0.311090199 dist dist
6940 0.2099009 dist number
6350 0.188454801 number number
7330 0.2730703 dist number
6170 0.213869799 dist dist
6810 0.1980632 number number
6440 0.1964045 dist dist
6530 0.2102463 dist dist
7790 0.3051863 number dist
7200 0.252342001 number dist
6460 0.197790999 dist number
8420 0.300766799 number dist
7300 0.213689901 number dist
6740 0.2402012 number number
8280 0.2942551 number dist
6350 0.1874668 number number
7390 0.2315403 dist dist
6410 0.26819 dist number
5870 0.121571099 dist number
6450 0.1577721 number dist
6370 0.148382801 number number
6260 0.2115956 dist dist
7880 0.2712959 number dist
8360 0.2731035 number dist
5800 0.1558195 number dist
7000 0.1813512 number number
6770 0.173655999 dist number
7480 0.2435068 number dist
7020 0.172791999 number dist
6750 0.201732201 dist number
6120 0.2258221 dist dist
6010 0.220577 dist number
7610 0.204875601 number number
7980 0.251142999 number dist
6340 0.223883 dist dist
6210 0.167712499 dist dist
6980 0.2196254 dist number
6880 0.174053901 number dist
8390 0.258140001 number number
6920 0.1983254 number number
6930 0.213146501 dist number
6920 0.2148567 number number
6460 0.175068799 number dist
6920 0.172516 number number
6800 0.216259401 dist number
6180 0.2144835 number dist
6440 0.2260796 dist number
7180 0.270367 dist number
7620 0.224996899 number dist
6050 0.2055385 dist dist
6320 0.180386999 number dist
7110 0.197776799 number number
6300 0.1451957 dist dist
5950 0.1912362 dist number
6130 0.1324105 dist dist
7650 0.226501199 number dist
6290 0.2102889 dist dist
5980 0.1737009 number number
5990 0.2134063 dist dist
6710 0.196405401 number number
6650 0.146235801 number dist
5910 0.1464827 dist dist
6330 0.186235199 number number
7580 0.261755601 number number
6240 0.163225499 dist dist
6790 0.2439629 dist dist
5840 0.228725501 dist number
7070 0.224217101 dist dist
7020 0.163703399 number number
7740 0.2326209 number number
6480 0.238198501 dist number
8570 0.276727499 number dist
6810 0.1931791 number dist
7420 0.2324369 number number
6650 0.1947631 dist number
7570 0.250944501 number dist
6940 0.248306201 dist number
7660 0.2475459 number number
5610 0.2164502 dist number
6620 0.2100424 number dist
6310 0.188137899 number dist
7370 0.2426692 number dist
6630 0.2980644 dist number
7580 0.328489299 dist number
7080 0.218385099 number number
6590 0.1328366 dist number
6310 0.1894001 dist dist
6360 0.2084893 number dist
6820 0.221500299 dist dist
6520 0.194950399 number number
6270 0.195740999 number dist
6540 0.178770801 number dist
6360 0.1872816 number number
6050 0.2536104 dist dist
6180 0.198807899 dist number
7000 0.200190101 dist dist
5970 0.1815412 dist dist
6070 0.2423483 dist dist
6600 0.2020548 dist dist
6370 0.183051399 dist dist
6910 0.199606 dist dist
5780 0.1541863 dist number
6580 0.2056994 dist dist
6900 0.2470613 dist number
6220 0.1429462 dist dist
6770 0.181465101 number number
6820 0.199223299 number dist
6640 0.1824026 dist dist
6150 0.184810501 dist number
6990 0.250897201 dist dist
6810 0.219665199 number dist
8230 0.2682075 number dist
5630 0.154796999 number dist
6470 0.2150683 dist number
7580 0.254066701 number dist
6250 0.1914853 number number
7140 0.230524301 dist number
6480 0.1739324 dist dist
6310 0.233062099 dist number
6650 0.1773659 dist dist
6620 0.1982197 number dist
5570 0.122781999 dist number
6080 0.1334109 dist dist
7360 0.192049 number dist
6230 0.2390389 dist dist
6610 0.216223701 number number
6310 0.185620001 dist number
7830 0.264218101 number number
6230 0.2010873 dist number
6740 0.163956501 number number
7520 0.2563946 number number
6870 0.201182001 number number
7290 0.226670701 number dist
7130 0.238443299 dist dist
6960 0.216671 dist dist
7460 0.235894899 number dist
6890 0.205884 number dist
7310 0.2073854 number dist
7050 0.268747601 dist dist
6150 0.182870999 number dist
7250 0.262084 dist number
6990 0.206362801 number number
6100 0.248292899 dist number
7720 0.2206974 number dist
7090 0.207481001 number number
7150 0.2632352 dist dist
6320 0.2121782 number number
6120 0.258338501 dist dist
6240 0.1986658 number number
7020 0.2301193 number number
6730 0.236457199 dist dist
6710 0.264091501 dist dist
6020 0.209345399 dist number
7040 0.2136837 number number
7230 0.253640301 number dist
7620 0.212430699 number number
6480 0.202274499 dist dist
6690 0.203281101 dist dist
6090 0.156492701 dist number
6410 0.2159914 dist dist
5700 0.153520899 number number
5970 0.1408022 number number
7130 0.2679599 dist number
6740 0.221783399 dist dist
6670 0.1962118 number number
5980 0.1755093 dist dist
6550 0.156122699 dist dist
6850 0.227219499 number number
7150 0.2462525 number number
6700 0.198838799 number dist
6300 0.1850331 dist dist
6560 0.2313112 dist number
6180 0.1688212 dist dist
6500 0.2202516 number dist
8080 0.275110399 number number
6300 0.1488236 number dist
7590 0.245281201 number number
6500 0.1860391 dist dist
6260 0.164373999 dist dist
6460 0.195215799 dist number
6100 0.199134799 number dist
8000 0.2629382 number dist
6530 0.155676599 dist dist
6700 0.162082199 number dist
6300 0.1442053 number number
5750 0.170221501 number dist
6040 0.2229009 dist number
6950 0.2684886 dist dist
6340 0.194301199 dist dist
6270 0.163882601 number dist
5920 0.1344419 dist dist
5980 0.213232999 dist number
5720 0.148749599 dist number
6910 0.172555501 number number
6360 0.195328701 number dist
6100 0.2245147 number number
6510 0.1665566 number number
5940 0.1536618 dist number
7880 0.285101899 number dist
6800 0.203986899 dist number
7230 0.221080101 number dist
6760 0.243656199 dist dist
6570 0.205685301 dist dist
6480 0.1496076 dist dist
6080 0.1750849 dist dist
7290 0.2624881 number dist
7930 0.248276299 number number
6440 0.155946501 number dist
6220 0.209395899 dist dist
6630 0.163654099 dist dist
6200 0.1769532 dist number
7360 0.2400561 dist number
6080 0.1649341 number dist
6020 0.194933701 dist dist
7150 0.3371794 dist dist
7250 0.217251701 number dist
6730 0.158922999 number dist
7300 0.245061799 number dist
6060 0.197007901 dist number
7080 0.224412901 number number
6880 0.2270088 dist number
6230 0.277539801 dist number
6480 0.235830999 dist number
6800 0.1540694 dist dist
7310 0.2844988 dist dist
7850 0.2521786 number number
5840 0.1945819 dist number
6540 0.214448 dist dist
6200 0.152329 dist number
6770 0.2267151 number dist
7090 0.224087401 number dist
7060 0.1868444 number number
6450 0.193567599 dist number
6210 0.177747899 number number
7190 0.2298959 dist dist
8240 0.284558301 number number
5490 0.1537182 dist number
6150 0.1553229 dist number
6470 0.1460454 dist dist
7100 0.211235601 number number
6870 0.197225699 number number
7290 0.23171 number dist
6790 0.2148638 dist dist
6780 0.2022487 number number
6540 0.155745201 dist dist
5960 0.295697399 dist number
7170 0.2221748 number number
8720 0.303160199 number dist
6920 0.1959362 dist dist
7330 0.233615 number number
6920 0.214368201 number number
6700 0.178044499 number dist
6340 0.244840399 dist dist
7920 0.240356 number dist
7520 0.244919 number dist
6190 0.150577601 dist number
7750 0.238484801 number dist
6100 0.1436796 dist dist
7510 0.222663499 number dist
6520 0.153129 number dist
6110 0.154073601 number dist
7050 0.249692499 dist dist
6160 0.239844699 dist dist
6100 0.215275 dist dist
6180 0.1377045 dist number
6530 0.1734576 dist dist
6580 0.1475207 number dist
7150 0.196116699 number number
6310 0.1851645 number number
7900 0.253639699 number dist
6390 0.115789 dist number
6200 0.1812887 dist number
6430 0.1874126 dist number
6600 0.198653901 number dist
8890 0.2894734 number number
8010 0.293164 number number
5640 0.152177 dist dist
6770 0.2263946 number dist
6480 0.196578899 number number
6240 0.151100799 dist number
7000 0.2520849 number number
6570 0.2134156 number number
6140 0.1348263 dist dist
7110 0.232844199 number number
7960 0.257930001 number number
7170 0.2293986 number number
6830 0.171298799 dist number
6190 0.220002501 number dist
6110 0.1933738 number number
7360 0.246827999 dist number
6870 0.1834614 number number
7390 0.1823479 number number
8610 0.2908544 number number
7670 0.214718699 number number
7070 0.2149185 dist number
6110 0.164812301 number number
8220 0.304399 number dist
6900 0.2150082 dist dist
6580 0.1844726 dist number
7770 0.178625301 dist number
6120 0.170168401 number number
6110 0.1930608 number dist
5900 0.281537701 dist dist
5790 0.138468999 dist number
5560 0.116665499 dist number
6310 0.1970452 dist dist
6530 0.225265801 dist dist
6120 0.1521641 number number
8490 0.278516801 number number
6870 0.2318338 number number
6110 0.230861501 dist number
6870 0.1883266 number dist
6340 0.216245 number number
7640 0.286593299 number number
6180 0.198769199 number dist
7290 0.2489153 number dist
6140 0.2319526 dist dist
7020 0.1607343 number dist
6680 0.3171399 dist number
8260 0.2024496 number dist
6720 0.1953117 number dist
7680 0.2399315 number number
6880 0.231292 dist number
6650 0.222727701 dist dist
6640 0.1926384 dist dist
5670 0.1156763 dist dist
6010 0.1915203 number number
7900 0.265638699 dist number
6590 0.178584801 dist dist
6320 0.176958399 dist dist
7010 0.2321964 dist number
7540 0.240780599 number dist
6370 0.2640767 dist dist
6430 0.192554601 dist dist
7470 0.201376999 number number
6890 0.213457301 dist number
6790 0.269985801 dist number
6720 0.129416601 number number
6710 0.2051202 dist dist
6450 0.2346524 number number
6280 0.1989639 dist dist
6700 0.2302248 number dist
7380 0.193333601 number number
6770 0.1881733 dist number
6470 0.1512219 dist number
6910 0.192995701 dist dist
6820 0.238131 dist number
7050 0.209067201 number dist
5980 0.170783499 dist dist
8360 0.2630119 number number
8120 0.228275601 number dist
7790 0.2861816 number number
5440 0.1230154 number number
6710 0.2186181 number dist
8200 0.2598295 number number
6000 0.209574699 dist number
6720 0.159877001 dist dist
6970 0.2912525 dist dist
5930 0.221590199 dist dist
6200 0.223450999 dist number
6730 0.194531699 dist number
6520 0.167493799 dist dist
