makespan time indicator criteria
2620 0.002391501 dist number
2120 0.001287601 dist number
2180 0.0014511 number number
2080 0.0013709 dist number
2060 0.000931299 dist number
2240 0.001226299 number dist
2280 0.0012196 dist number
2140 0.0012695 dist number
2220 0.0016655 dist dist
2180 0.0011286 dist number
2060 0.0009166 number dist
2180 0.0010479 dist dist
2280 0.001065399 dist number
2240 0.002045401 dist dist
2580 0.003106299 number dist
2120 0.0012311 dist number
2240 0.001185101 dist dist
2720 0.0041388 number dist
2280 0.001554199 dist number
2320 0.001260001 number number
2060 0.0008781 number number
2060 0.0009844 number number
2060 0.0009112 number dist
2480 0.003 number dist
2080 0.0008791 dist number
2580 0.0030267 number dist
2400 0.002020301 dist number
2480 0.003024501 number dist
2680 0.0029972 number number
2320 0.001400699 number dist
2460 0.0020717 number dist
2720 0.004124901 number dist
2720 0.005039601 number number
2080 0.001501101 dist dist
2320 0.0013524 number number
2380 0.0013403 number dist
2460 0.0026094 dist number
2420 0.0025108 dist number
2300 0.001152301 number dist
2060 0.001287201 dist dist
2380 0.001440701 number dist
2060 0.001489099 dist dist
2300 0.001583001 number number
2240 0.0013182 number number
2060 0.001656899 dist number
2320 0.001578399 number number
2120 0.001287999 dist number
2560 0.003221701 dist dist
2320 0.001283199 number dist
2500 0.0022928 dist number
2320 0.001354 number dist
2120 0.001198999 dist number
2320 0.0020766 dist dist
2500 0.001808899 dist number
2720 0.0042123 number number
2180 0.001271001 number dist
2320 0.001320699 number dist
2420 0.0014537 dist number
2100 0.000910701 number number
2720 0.002873299 dist dist
2380 0.001615299 number dist
2060 0.0015727 dist dist
2320 0.0024108 dist dist
2240 0.001147999 dist dist
2760 0.003353799 number dist
2120 0.001279499 dist number
2060 0.000950301 number dist
2320 0.001386401 number dist
2060 0.0017962 dist dist
2060 0.0008933 number number
2320 0.0008874 dist dist
2060 0.000890901 dist number
2480 0.0020583 number number
2500 0.0026029 dist dist
2360 0.001928899 dist dist
2060 0.0016671 dist number
2560 0.0032221 number dist
2180 0.0011701 dist dist
2060 0.0009254 number number
2120 0.0013712 dist dist
2720 0.004355 number dist
2060 0.001545399 dist number
2180 0.0010776 dist number
2180 0.001200901 dist dist
2060 0.0008638 dist dist
2060 0.001226899 number number
2060 0.000904599 number number
2440 0.001085599 dist number
2500 0.0026747 dist number
2580 0.0029902 dist number
2240 0.001355 dist dist
2380 0.0021549 number dist
2120 0.001192 number number
2560 0.003082501 dist number
2220 0.0016553 dist dist
2060 0.000900799 number number
2060 0.001519 dist dist
2060 0.0009327 number dist
2560 0.003169101 number dist
2120 0.0009251 number dist
2160 0.001052801 dist dist
2060 0.001054 number dist
2720 0.0041594 number dist
2500 0.002568101 dist number
2320 0.002018 number dist
2060 0.000877401 number dist
2320 0.0024792 dist dist
2440 0.002185999 dist number
2180 0.000847801 number dist
2080 0.0013677 dist dist
2120 0.001128301 number number
2240 0.002047299 number number
2320 0.001484401 dist dist
2180 0.001028 number number
2440 0.002556599 dist number
2180 0.0012284 dist dist
2380 0.001882599 number number
2120 0.001126099 dist number
2120 0.001246499 number number
2360 0.001397901 number number
