makespan time indicator criteria
6400 0.188750701 dist dist
7070 0.279447 dist number
6450 0.1913196 dist dist
9340 0.360876301 number dist
6860 0.227817399 number number
6130 0.270659201 dist dist
6420 0.2207692 dist number
7780 0.3107795 dist dist
6600 0.295098899 dist dist
6730 0.4134988 dist dist
7310 0.238557 number number
6600 0.2550996 number number
6240 0.148894499 number dist
7770 0.3023068 number number
8250 0.3291153 dist number
6640 0.155939499 dist dist
7240 0.1704231 number number
6840 0.205485999 dist number
6340 0.2088909 dist number
9390 0.3858491 number number
6630 0.2983334 dist dist
6570 0.2241638 dist dist
7580 0.184662 number number
6880 0.2651511 number dist
6510 0.250745801 dist dist
7560 0.238000399 number number
6740 0.1850017 number dist
5990 0.228133101 dist number
8830 0.3246277 number dist
6430 0.2421233 dist dist
7210 0.252868401 dist number
6220 0.184756801 dist number
6680 0.237013901 dist dist
6820 0.246641299 dist dist
6680 0.2465477 dist dist
6290 0.249223501 dist number
7200 0.3569478 dist number
7110 0.205888199 dist number
6080 0.150430901 dist dist
7370 0.203091301 number dist
6910 0.2314499 number number
6750 0.1992354 dist number
7270 0.244554201 number dist
6480 0.192782401 number number
7450 0.223344699 number dist
7100 0.2251366 number number
7250 0.246729101 number dist
6250 0.209448301 number dist
6070 0.221732801 dist number
6330 0.2612252 dist dist
6160 0.1945392 dist number
7870 0.209049 number number
6700 0.3224795 dist dist
6410 0.2583753 number number
6410 0.208747501 dist number
7390 0.2998722 number dist
6690 0.2312725 dist number
6870 0.1547436 dist number
6190 0.219238099 dist number
8060 0.2876371 number dist
6400 0.2404191 dist number
6360 0.1839483 dist number
7050 0.344610099 dist number
6710 0.187101099 number number
7240 0.2105819 number number
6250 0.229670199 dist dist
7020 0.251048399 number number
7470 0.2918453 dist number
7040 0.2024496 dist dist
7170 0.226442101 number number
6590 0.182258 number dist
6260 0.198 dist dist
7610 0.2837937 dist dist
8090 0.301769499 number number
7110 0.2892928 dist number
6090 0.191710801 dist number
6330 0.1684736 number number
6240 0.1926596 dist number
8160 0.256368799 number dist
6470 0.184566899 number dist
6370 0.216186899 dist dist
6780 0.274617899 dist dist
8660 0.3663937 number dist
6410 0.200745899 dist number
7140 0.231231301 number dist
7070 0.324502399 dist number
