makespan time indicator criteria
7020 0.18405 number dist
6470 0.2488889 number number
7890 0.2364623 number dist
6750 0.169311999 number number
6900 0.192739799 dist dist
6330 0.2152619 number number
7800 0.192845199 number number
6450 0.1235761 dist number
6710 0.1809984 dist number
7290 0.250865101 number number
7490 0.206435801 number dist
6930 0.2221915 dist number
7450 0.142397901 number number
6770 0.261597401 dist dist
6790 0.161821901 dist dist
8280 0.296173901 number number
7280 0.358345001 number number
6840 0.1723883 dist number
6220 0.247824101 dist number
7280 0.205493399 dist dist
7530 0.2029218 number number
6890 0.169853799 dist dist
6660 0.206376901 dist number
7120 0.3335938 dist dist
7140 0.195318999 number number
6530 0.169841 dist number
7520 0.2423546 number dist
7560 0.2557556 dist number
6620 0.143814699 number dist
6490 0.274986999 dist number
6550 0.1984125 number number
7450 0.303242301 number number
6700 0.2598259 dist number
7790 0.2769849 number dist
6380 0.2245822 dist dist
8110 0.292860001 number dist
6810 0.1866893 number number
6330 0.164389099 dist number
6320 0.2111807 dist dist
6320 0.2208946 number number
7030 0.2403694 dist dist
6620 0.230543599 number dist
7910 0.2298213 number number
5850 0.177116301 dist number
7130 0.2379967 dist number
7100 0.222569501 number dist
6640 0.2257029 dist dist
6290 0.194807699 dist number
6360 0.151745 dist number
7100 0.2345338 number dist
6350 0.1648317 number number
6190 0.183268399 dist number
6590 0.2364352 dist number
7450 0.2531323 dist number
7260 0.2778012 number dist
7000 0.2614618 dist dist
7940 0.2432007 number dist
7420 0.1900298 dist dist
6890 0.1990896 number dist
8390 0.3139692 number dist
6820 0.186976199 dist dist
6510 0.166825299 dist number
7160 0.2652773 number number
6200 0.1777945 dist dist
6840 0.257857 dist number
6810 0.251742701 dist dist
6550 0.2040102 dist number
6560 0.2381866 dist number
6620 0.263234701 dist dist
6530 0.246916301 dist number
6750 0.2774447 dist dist
6050 0.2009625 number dist
8010 0.272503099 number dist
7870 0.2526519 dist number
6550 0.163821001 dist number
6470 0.190174199 number dist
6660 0.1950772 dist number
6880 0.169313099 number number
7770 0.247467599 number number
6900 0.1895919 number number
7510 0.221632799 number dist
7740 0.2020215 number number
7350 0.2656077 dist number
8520 0.259762401 number number
8020 0.2356496 dist number
6720 0.2944929 dist dist
6750 0.2027437 number dist
7480 0.280538699 number number
6310 0.2314076 dist number
7340 0.298544401 number number
6680 0.233141399 number dist
6710 0.2142362 dist number
6550 0.179336399 dist dist
7050 0.2858297 number number
7610 0.321098501 dist number
7900 0.247488 number number
7220 0.240048199 number dist
7420 0.231500499 number dist
6530 0.2331701 dist number
7770 0.2677056 number dist
6150 0.172501401 dist number
6220 0.2131238 number number
7020 0.253023501 dist dist
6370 0.288947801 dist dist
7400 0.313360899 number dist
7540 0.27897 number number
6840 0.2474508 dist dist
8530 0.319696401 number number
6990 0.189072199 dist dist
6330 0.1954234 dist number
6220 0.142916301 dist number
5980 0.136350801 dist dist
6740 0.181998 number number
6600 0.1962257 dist dist
8050 0.2897935 dist dist
7450 0.164039 dist number
7320 0.2405955 number dist
6360 0.129216001 dist dist
6470 0.2443775 dist number
5830 0.1828589 dist number
6440 0.2288653 dist number
7810 0.2745005 dist number
6030 0.1710973 dist number
8320 0.2790462 number dist
7140 0.261871601 number number
8180 0.2806382 number number
7260 0.264646101 number number
8860 0.3269275 number number
6420 0.237514199 number number
6440 0.2213696 number number
6020 0.1965474 dist number
8650 0.382873799 number dist
7610 0.225078101 dist number
6850 0.241217 dist number
7680 0.2604686 number number
7150 0.2030356 number number
7030 0.2146939 dist number
6550 0.2157397 number dist
6890 0.231999101 number dist
6770 0.191979199 dist number
6290 0.13319 number dist
6720 0.205349899 number number
5930 0.1863142 dist dist
7340 0.193261301 number dist
6860 0.2629725 number number
6100 0.117988399 dist dist
6550 0.150012299 dist dist
7300 0.2020398 number number
6690 0.1892599 dist dist
7400 0.2376582 number number
6110 0.1550507 number number
6320 0.244756201 dist dist
6430 0.1516219 dist number
7440 0.2740255 number dist
8670 0.310292299 number number
8730 0.327237 number dist
6740 0.156669599 dist number
7220 0.187401201 dist dist
6890 0.265817 dist number
6450 0.2305592 dist number
6860 0.263516099 number dist
7390 0.2432863 number number
8760 0.295679701 number number
6760 0.244780599 dist number
8110 0.225267 number number
6640 0.227429 dist number
6590 0.1913681 number dist
6940 0.242820799 number dist
7420 0.2413993 number dist
7680 0.238364401 number dist
6440 0.214345499 dist dist
6470 0.2331774 dist dist
6840 0.190589 number dist
7980 0.2147406 number dist
7090 0.2186135 number number
7060 0.178979699 dist number
7310 0.229245301 number number
6870 0.2550228 dist dist
6650 0.1535225 number number
7550 0.2653156 number number
6990 0.2463244 dist number
7110 0.214382801 number dist
7000 0.210360201 dist dist
7860 0.303120799 number number
7430 0.2559564 number number
7670 0.1966108 dist number
6380 0.1840492 dist number
6930 0.246017399 dist dist
7320 0.2505653 number number
6990 0.166468 number number
7060 0.1673787 number number
5740 0.1837354 dist dist
7070 0.227845999 dist dist
5790 0.1638492 dist number
7040 0.2987783 dist dist
5680 0.118309399 dist number
8110 0.270457101 number dist
7960 0.247999599 number dist
7190 0.1800702 number number
6720 0.181681999 dist dist
6970 0.2227593 dist dist
6770 0.263837601 dist number
8010 0.2431822 number dist
7010 0.2178682 number dist
6710 0.169866401 number dist
8890 0.279336401 number dist
6660 0.249947699 number dist
7910 0.200146599 number dist
6480 0.1735443 dist dist
7090 0.273343799 dist number
6740 0.217278 dist number
7000 0.2249898 dist dist
6810 0.261556099 dist dist
7860 0.2119723 number number
6970 0.2203555 number number
